"","site","year","storage","treated_20","treated_30","treated_70","treated_40","total_basin_area","total_basin_20","total_basin_30","total_basin_40","total_basin_70","percent_20_treated","untreated_20","percent_30_treated","untreated_30","percent_40_treated","untreated_40","untreated_70","percent_70_treated"
"1","cb","2019",0,45749.9086315361,1649.83540637128,13.0392515859567,NA,22228468.021715,6919133.14917607,3532228.50683463,7643410.75315109,4133695.61255317,0.661208675207877,6873383.24054453,0.0467080598885081,3486478.59820309,NA,7597660.84451955,4087945.70392163,0.000315438116593761
"2","cb","2018",0,42078.1389833264,NA,NA,NA,22228468.0217195,7935511.20043681,3753136.65193971,8442458.43814976,2097361.73119321,0.530251144765698,7893433.06145348,NA,3711058.51295638,NA,8400380.29916643,2055283.59220988,NA
"3","cb","2017",0,26993.1098854661,15085.0290978908,NA,NA,22228468.0217231,3399814.11919142,6289073.98141063,8208790.38485309,4330789.53626796,0.793958402993098,3372821.00930595,0.239860894345962,6262080.87152516,NA,8181797.27496762,4303796.42638249,NA
"4","cr","2019",0,1304190.95323441,6895.8684002719,292162.311277517,82898.3111023042,33453008.3603996,19582485.1193068,1750562.51847371,5379667.06336928,6740293.65924988,6.65998694899341,18278294.1660724,0.393923000606931,446371.565239301,1.54095616189276,4075476.11013487,5436102.70601547,4.33456353754817
"5","cr","2018",0,1394406.64800123,3805.24585335888,187521.628506911,100413.92165298,33453008.3603978,21344670.0807246,1379242.77692388,5829145.8141761,4899949.68857313,6.53280956195458,19950263.4327234,0.275893839505595,-15163.8710773545,1.72261811342547,4434739.16617487,3505543.0405719,3.82701130471234
"6","cr","2017",0,1229940.91251603,175210.161026093,226340.590670197,54655.7798021733,33453008.3604001,16698421.5455834,5236310.38858561,4263903.4997474,7254372.92648359,7.36561182839067,15468480.6330674,3.34606140629145,4006369.47606958,1.28182497107196,3033962.58723137,6024432.01396756,3.12005728081464
"7","cr","2016",0,1286106.20840405,76829.8586821137,298660.954755294,24550.422172885,33453008.3604016,18065267.4272251,2321728.48963235,2441133.92273433,10624878.5208098,7.11922042441418,16779161.218821,3.30916638294256,1035622.2812283,1.00569747297542,1155027.71433028,9338772.31240575,2.81095877162585
"8","cr","2015",0,1343001.230572,21182.76232859,274913.550881823,47049.9002327587,33453008.3604102,19493408.7880068,987871.536956533,3446051.16141181,9525676.87403502,6.88951452861479,18150407.5574348,2.14428309108394,-355129.693615468,1.36532796609679,2103049.93083981,8182675.64346302,2.88602641594089
"9","cr","2014",0,875686.838017136,129706.329341038,133975.414521041,115792.906026596,33453008.3604129,17511850.8634119,4823055.24682079,5795580.11256099,5322522.1376192,5.00053846305154,16636164.0253948,2.68929802175781,3947368.40880365,1.99795195265498,4919893.27454385,4446835.29960206,2.51714151781751
"10","cr","2013",0,987787.739261104,4780.20155226375,196551.022787581,41342.8624878504,33453008.3604115,20047715.6529021,539246.078970283,3696525.44242672,9169521.18611238,4.92718350740431,19059927.913641,0.886460141053187,-448541.660290821,1.1184249407116,2708737.70316562,8181733.44685128,2.14352547748366
"11","cr","2012",0,762229.608195889,29828.7084686731,248002.694369863,32847.9799583899,33453008.3604126,18104002.8390317,1149629.16943346,3427973.34303513,10771403.0089123,4.21028219545207,17341773.2308358,2.59463740671897,387399.561237571,0.95823323787303,2665743.73483924,10009173.4007164,2.30241774599525
