"","SEQNO","ASSET","STRUC_TYPE","MDE_STRUCT","STRUC_DTAL","SW_CAT","PROP_NAME","ACCS_STRT","DEPARTMENT","SEDCONPMT","APPR_DATE","FINAL_DATE","TOTAL_DA","RCN","COMMENTS","POINT_X","POINT_Y","LAND_USE","UPDATE_BY","L_UPDATE","GISOBJID","SW_FILE","P_ST_ADD","MDE","MDN","EASEMENT","COVENANT","STATUS","INSP_REG","Acct","Type_Desc","lulc_70","lulc_40","lulc_30","lulc_20","year","site","lulc_unknown"
"1","269803.07",21157,"BR","FBIO","SWM-12","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,"Re-activated by Ed",1237529.18802,559256.890268,15,"EE","03/01/2018 12:00:00 AM +0000",100011150,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",16791.3734524548,0,0,3471.73209803924,"2010","cr",0
"2","269803.08",21154,"BR","FBIO","SWM-13","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,"Re-activated by Ed",1237574.10984,559219.520264,15,"EE","03/01/2018 12:00:00 AM +0000",100010830,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",605.864412256517,0,0,0,"2010","cr",0
"3","269803.10",21038,"BR","FBIO","SWM-15","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,NA,1237964.45421,559113.877759,15,"PM","03/23/2016 12:00:00 AM +0000",100010939,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",487.938695548277,0,0,117.928041404113,"2010","cr",0
"4","269803.11",21156,"BR","FBIO","SWM-16","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,NA,1238062.15381,559295.744193,41,"PM","03/23/2016 12:00:00 AM +0000",100010922,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",605.862607929856,0,0,0,"2010","cr",0
"5","269803.12",20459,"BR","FBIO","SWM-17","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,NA,1238108.55136,559306.160511,41,"PM","03/23/2016 12:00:00 AM +0000",100010368,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",1939.1248514764,0,0,0,"2010","cr",0
"6","269803.13",20168,"BR","FBIO","SWM-18","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,NA,1238048.37792,559105.023446,15,"PM","03/23/2016 12:00:00 AM +0000",100009969,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",48612.8224740797,15311.2455787547,0,32737.1065875767,"2010","cr",0
"7","269803.14",21155,"BR","FBIO","SWM-19","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,NA,1238091.80664,559165.995765,41,"PM","03/23/2016 12:00:00 AM +0000",100010258,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",1446.18406918459,0,0,630.550410252064,"2010","cr",0
"8","269803.15",20174,"SWALE","MSWG","SWM-20","ESD","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,"Changed from BR to SWALE",1237994.70447,559488.628322,41,"EE","03/01/2018 12:00:00 AM +0000",100009867,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Vegetated/Grass Swale",862.214366298169,349.500543726608,0,0,"2010","cr",0
"9","269803",21153,"BR","FBIO","BLD #1","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,"moved point",1237708.71653,559142.191679,15,"PM","03/23/2016 12:00:00 AM +0000",100009983,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",524.070561077446,0,0,684.204097229987,"2010","cr",0
"10","269803.02",20652,"BR","FBIO","SWM-5","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,"Re-activated by Ed",1237546.63582,559474.229728,41,"EE","03/01/2018 12:00:00 AM +0000",100010119,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",0,1208.25751289353,0,0,"2010","cr",0
"11","269803.03",20770,"BR","FBIO","SWM-6","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,"Re-activated by Ed",1237596.98316,559471.191349,41,"EE","03/01/2018 12:00:00 AM +0000",100011138,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",0,3133.61508767307,0,0,"2010","cr",0
"12","269803.04",20458,"BR","FBIO","SWM-9","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,"Re-activated by Ed",1237533.39798,559400.444771,41,"EE","03/01/2018 12:00:00 AM +0000",100010865,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",1637.14907495677,1478.12620297074,0,0,"2010","cr",0
"13","269803.05",20166,"BR","FBIO","SWM-10","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,"Re-activated by Ed",1237593.07667,559394.151476,41,"EE","03/01/2018 12:00:00 AM +0000",100011161,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",641.957130194642,6023.1958899498,0,0,"2010","cr",0
"14","269803.06",20152,"BR","FBIO","SWM-11","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,"Re-activated by Ed",1237426.58389,559282.541135,15,"EE","03/01/2018 12:00:00 AM +0000",100010046,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",30377.9151509218,0,0,12050.418253202,"2010","cr",0
"15","3502",10039,"BR","FBIO",NA,"AG","Eton Place (Condominium)","Eton Manor Drive","SWM-RESID",956200006,"07/10/1995 12:00:00 AM +0000","05/07/2001 12:00:00 AM +0000","4","72",NA,1242194.83813,557333.189391,13,NA,NA,100000039,"1-88187","Eton Manor Drive","730","496",NA,NA,"I","INSP-REG03","C000015","Bioretention, quality control",2733.34659359581,887.636210707249,0,39958.899269063,"2010","cr",0
"16","3502.04",10069,"BR","FBIO",NA,"AG","Eton Place (Condominium)","Eton Manor Drive","SWM-RESID",956200006,"07/10/1995 12:00:00 AM +0000","05/07/2001 12:00:00 AM +0000","4","72",NA,1242555.79673,557550.90221,13,NA,NA,100000069,"1-88187","Eton Manor Drive","730","496",NA,NA,"I","INSP-REG03","C000015","Bioretention, quality control",4718.35472205095,1644.14180076122,0,22516.4162354926,"2010","cr",0
"17","3502.05",10065,"BR","FBIO",NA,"AG","Eton Place (Condominium)","Eton Manor Drive","SWM-RESID",956200006,"07/10/1995 12:00:00 AM +0000","05/07/2001 12:00:00 AM +0000","4","72",NA,1242789.0233,557655.362959,13,NA,NA,100000065,"1-88187","Eton Manor Drive","730","496",NA,NA,"I","INSP-REG03","C000015","Bioretention, quality control",2728.6876807157,0,0,19177.3792727939,"2010","cr",0
"18","3502.06",10034,"BR","FBIO",NA,"AG","Eton Place (Condominium)","Eton Manor Drive","SWM-RESID",956200006,"07/10/1995 12:00:00 AM +0000","05/07/2001 12:00:00 AM +0000","4","72",NA,1242019.01335,557233.382832,13,NA,NA,100000034,"1-88187","Eton Manor Drive","730","496",NA,NA,"I","INSP-REG03","C000015","Bioretention, quality control",302.991166261025,302.927914336324,0,0,"2010","cr",0
"19","3502.03",10033,"BR","FBIO",NA,"AG","Eton Place (Condominium)","Eton Manor Drive","SWM-RESID",956200006,"07/10/1995 12:00:00 AM +0000","05/07/2001 12:00:00 AM +0000","4","72",NA,1242435.8219,557474.883661,13,NA,NA,100000033,"1-88187","Eton Manor Drive","730","496",NA,NA,"I","INSP-REG03","C000015","Bioretention, quality control",540.14133642544,403.467419764027,0,14033.5024147418,"2010","cr",0
"20","3345",13370,"PDQNSF","FSND",NA,"AG","Milestone","Shakespeare Blvd","SWM-COMM",953310003,"03/14/1995 12:00:00 AM +0000","12/04/2002 12:00:00 AM +0000","92","0","2012 - AB lacks info, no AB in documatum",1240392.7443,557508.353083,14,NA,NA,100002961,"1-90171","Shakespeare Blvd","728","496","13633/404",NA,"I","INSP-REG03","03107871","Pond-dry, sand filter base",1650.78836251609,0,0,175.963610455394,"2010","cr",0
"21","69",11521,"PDWTED","PWED",NA,"AG","Wexford (Wexford HOA)","Frederick Rd","SWM-RESID-DEP",8702230003,"06/01/1982 12:00:00 AM +0000","05/22/1995 12:00:00 AM +0000","56","81",NA,1243083.14377,557595.862094,12,"HF","06/30/2011 12:00:00 AM +0000",100001465,"1-78290","Frederick Rd","730","500","7914/028","12956/235","I","INSP-REG03","02266132","Pond-wet, extended detention",605.911335110664,0,0,0,"2010","cr",0
"22","2482",11307,"PDWDED","WEDW",NA,"AG","Cloverleaf Center","Crystal Rock Dr","SWM-RESID",9303250006,"01/01/1994 12:00:00 AM +0000","01/05/1999 12:00:00 AM +0000","35","85",NA,1235101.40711,557230.255542,22,NA,NA,100001251,"1-88156","Crystal Rock Dr","720","490","13584/230","12327/121","I","INSP-REG03","C000134","Pond-wetland, extended detention",14.26991814957,591.639684323221,0,0,"2010","cr",0
"23","2447",11309,"PDWDED","WEDW",NA,"AG","Seneca Crossing II (HOA)","Route 355","SWM-RESID-DEP",918230004,"11/29/1993 12:00:00 AM +0000","08/28/1998 12:00:00 AM +0000","102","83",NA,1242503.62525,557255.253523,50,NA,NA,100001253,"1-89173","Route 355","730","496","11913/729","11913/721","I","INSP-REG03","00026152","Pond-wetland, extended detention",605.919081604108,0,0,0,"2010","cr",0
"24","2422",13308,"SEP","XOGS",NA,"UG","Freestate Petroleum","Frederick Rd","SWM-COMM",8903100001,"08/01/1989 12:00:00 AM +0000","11/12/1998 12:00:00 AM +0000","1","86",NA,1242813.1909,556988.245855,14,NA,NA,100002971,"1-88288","Frederick Rd","730","495",NA,NA,"I","INSP-REG03","02848026","Oil/grit separator",0,0,0,1211.85108928569,"2010","cr",0
"25","269803.09",20346,"BR","FBIO","SWM-14","AG","Milestone Business Park","Milestone Center Drive","SWM-COMM",239852,"06/06/2011 12:00:00 AM +0000","10/28/2013 12:00:00 AM +0000",NA,NA,"Re-activated by Ed",1237608.20393,559147.715618,15,"EE","03/01/2018 12:00:00 AM +0000",100010645,NA,"Milestone Center Drive",NA,NA,"41683/223","41683/233","I","INSP-REG03","03327726","Bioretention, quality control",332.43048208952,0,0,875.844177432358,"2010","cr",0
"26","210721",13791,"SF","FSND",NA,"AG","Milestone Business Park","Milestone Center Dr","SWM-COMM",0,"05/29/1998 12:00:00 AM +0000","10/15/2007 12:00:00 AM +0000","35","86","2012 - moved",1237850.08993,558302.319343,15,"HF","03/20/2012 12:00:00 AM +0000",100002976,"1-89270","Milestone Center Dr","725","497",NA,NA,"I","INSP-REG03","03435462","Sand filter",1163.21184756048,0,0,45.1000559655949,"2010","cr",0
