"","SEQNO","ASSET","STRUC_TYPE","MDE_STRUCT","STRUC_DTAL","SW_CAT","PROP_NAME","ACCS_STRT","DEPARTMENT","SEDCONPMT","APPR_DATE","FINAL_DATE","TOTAL_DA","RCN","COMMENTS","POINT_X","POINT_Y","LAND_USE","UPDATE_BY","L_UPDATE","GISOBJID","SW_FILE","P_ST_ADD","MDE","MDN","EASEMENT","COVENANT","STATUS","INSP_REG","Acct","Type_Desc","lulc_70","lulc_40","lulc_30","lulc_20","year","site","lulc_unknown"
"1","268302.05",20684,"DS","ODSW","Dry Swale","AG","Greenway Village at Clarksburg","Peppervine Drive","SWM-MCG-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1244165.32632,569456.184502,41,"PM","03/23/2016 12:00:00 AM +0000",100010786,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","ROW","Dry Swale",5983.44700672929,7119.23501838371,0,8624.82895927131,"2019","tr109",0
"2","268302.08",21423,"FSU","OTH","1242","UG","Greenway Village at Clarksburg","Peppervine Drive","SWM-MCG-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"Changed from FS to FSU by Rick 9/2017",1244364.42861,569454.97978,41,"RW","09/13/2017 12:00:00 AM +0000",100009991,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","ROW","Flow splitter underground",801.911695924588,0,0,2178.47966883518,"2019","tr109",0
"3","268302",21424,"DW","MIDW","lot 16 W","ESD","Greenway Village at Clarksburg","Peppervine Drive","SWM-SFR",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1243484.87427,569128.1763,41,"PM","03/23/2016 12:00:00 AM +0000",100009992,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694513","Dry Well",1554.44246271821,655.586095476523,0,1937.75818189194,"2019","tr109",0
"4","268302.02",21425,"DW","MIDW","lot 16 E","ESD","Greenway Village at Clarksburg","Peppervine Drive","SWM-SFR",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1243521.76658,569159.209374,41,"PM","03/23/2016 12:00:00 AM +0000",100009995,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694513","Dry Well",603.73457132373,1.90024977730354,0,0,"2019","tr109",0
"5","268302.06",20225,"SF","FSND","#11C","AG","Greenway Village at Clarksburg","Peppervine Drive","SWM-RESID-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"Point moved to center of SF #11C on plan",1243811.78897,569609.103816,41,"KR","10/25/2016 12:00:00 AM +0000",100010407,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694320","Sand filter",186.501632075757,0,222.303226287942,785.228786857333,"2019","tr109",0
"6","268302.11",21427,"FSU","OTH","1204","UG","Greenway Village at Clarksburg","Peppervine Drive","SWM-RESID-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"Changed from FS to FSU by Rick 9/2017",1243888.82129,569552.692839,41,"RW","09/13/2017 12:00:00 AM +0000",100010001,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694320","Flow splitter underground",1668.47680465016,1403.74460914591,0,179.515196262859,"2019","tr109",0
"7","268302.10",21426,"AQSW","XOGS","PT-37","UG","Greenway Village at Clarksburg","Peppervine Drive","SWM-RESID-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1243858.13828,569541.577048,41,"PM","03/23/2016 12:00:00 AM +0000",100009998,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694320","Aquaswirl",279.774267293978,386.590207928792,222.195654440671,937.362008960918,"2019","tr109",0
"8","268302.03",20505,"DW","MIDW","lot 15 W","ESD","Greenway Village at Clarksburg","Peppervine Drive","SWM-SFR",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1243562.34819,569168.323857,41,"PM","03/23/2016 12:00:00 AM +0000",100009937,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694502","Dry Well",1806.79156606098,105.056209538809,1.75463098823093,1066.8346739981,"2019","tr109",0
"9","268302.04",20297,"DW","MIDW","lot 15 E","ESD","Greenway Village at Clarksburg","Peppervine Drive","SWM-SFR",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1243653.05995,569184.166017,41,"PM","03/23/2016 12:00:00 AM +0000",100011124,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694502","Dry Well",1749.48656788282,0,264.778444042429,6224.55974569172,"2019","tr109",0
"10","268302.07",21422,"BR","FBIO","# 11 M","AG","Greenway Village at Clarksburg","Peppervine Drive","SWM-RESID-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1244323.31714,569385.704984,41,"PM","03/23/2016 12:00:00 AM +0000",100009988,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694524","Bioretention, quality control",60903.130284556,66671.1465719136,10353.9155855719,312492.091241172,"2019","tr109",0
"11","268302.09",21060,"AQSW","XOGS","PT-36","UG","Greenway Village at Clarksburg","Peppervine Drive","SWM-RESID-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1244368.45649,569428.24755,41,"PM","03/23/2016 12:00:00 AM +0000",100011002,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694524","Aquaswirl",75.0797222363763,0,0,530.548907876946,"2019","tr109",0
"12","242572.05",15521,"FSU","OTH","782","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244783.66596,570886.541877,21,"KR","10/25/2016 12:00:00 AM +0000",100005254,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03582255","Flow splitter underground",17318.05766505,54.21682359837,77.3708255904494,10485.1620983477,"2019","tr109",0
