"","stores_remain"
"1",43567
"2",1203
"3",13094
"4",15929
"5",13793
"6",2352
"7",5685
"8",2759
"9",844
"10",34082
"11",32897
"12",19252
"13",3591
"14",115
"15",115
"16",115
"17",115
"18",4323
"19",626
"20",575
"21",345
"22",108500
"23",30061
"24",2251
"25",2167
"26",288
"27",335
"28",269
"29",5760
"30",6944
"31",684
"32",762
"33",780
"34",500
"35",288
"36",557
"37",324
"38",67562
"39",396
"40",1228
"41",995
"42",115
"43",115
"44",115
"45",115
"46",115
"47",115
"48",115
"49",115
"50",115
"51",115
"52",115
"53",115
"54",115
"55",115
"56",21644
"57",115
"58",115
"59",115
"60",115
"61",115
"62",115
"63",115
"64",115
"65",115
"66",2735
"67",52998
"68",17516
"69",3988
"70",115
"71",115
"72",115
"73",115
"74",115
"75",115
"76",115
"77",4182
"78",115
"79",6545
"80",46265
"81",80450
"82",20916
"83",115
"84",115
"85",115
"86",43567
"87",1203
"88",13094
"89",15929
"90",13793
"91",2352
"92",5685
"93",2759
"94",844
"95",34082
"96",32897
"97",19252
"98",3591
"99",115
"100",115
"101",115
"102",115
"103",4323
"104",626
"105",575
"106",345
"107",108500
"108",30061
"109",2251
"110",2167
"111",288
"112",335
"113",269
"114",5760
"115",6944
"116",684
"117",762
"118",780
"119",500
"120",288
"121",557
"122",324
"123",67562
"124",396
"125",1228
"126",995
"127",115
"128",115
"129",115
"130",115
"131",115
"132",115
"133",115
"134",115
"135",115
"136",115
"137",115
"138",115
"139",115
"140",115
"141",21644
"142",115
"143",115
"144",115
"145",115
"146",115
"147",115
"148",115
"149",115
"150",115
"151",2735
"152",52998
"153",17516
"154",3988
"155",115
"156",115
"157",115
"158",115
"159",115
"160",115
"161",115
"162",4182
"163",115
"164",6545
"165",46265
"166",80450
"167",20916
"168",115
"169",115
"170",115
"171",38437.2057952257
"172",1179.7877321162
"173",12665.3712876553
"174",15905.7862486366
"175",13284.0186778243
"176",2164.24778362271
"177",1714.82588873063
"178",2735.78684202781
"179",-4976.70265319278
"180",34035.5701626026
"181",25306.6205568933
"182",19057.8756601655
"183",3567.78752446566
"184",-328.65611711671
"185",68.5714681759414
"186",69.231149219914
"187",-271.525046579316
"188",3759.75790451206
"189",451.018265078496
"190",551.787672753936
"191",73.690713307634
"192",108453.572536342
"193",27602.0058990078
"194",2204.57556258611
"195",-2875.19777855948
"196",-2468.01238766345
"197",-65.3826651336253
"198",-1019.29374261675
"199",4217.20510076892
"200",5790.97371196484
"201",614.013546708028
"202",-2317.22324641339
"203",733.704471980172
"204",395.309931028932
"205",-3260.29713121013
"206",482.698375196184
"207",254.010326209689
"208",67516.234357876
"209",-1898.58493857376
"210",-23444.5607567763
"211",971.787702454633
"212",46.0191044946139
"213",91.786397015173
"214",6.54512777090072
"215",68.5726550266053
"216",69.2324275227015
"217",40.7019804812223
"218",69.2323105146612
"219",69.2316085366781
"220",-1175.20094323955
"221",69.2314069032731
"222",34.6651099915556
"223",91.7856552330529
"224",68.5712307977475
"225",68.5711121129881
"226",20996.4038031021
"227",17.4836981607989
"228",68.5702812923615
"229",91.7851211268951
"230",23.5331867015051
"231",69.2298739795325
"232",12.5810272848016
"233",-264.816548920522
"234",-182.315214526815
"235",68.5698065076272
"236",2711.78808700471
"237",50068.9620436873
"238",12508.3450645906
"239",2850.87677150528
"240",91.7853881852577
"241",69.2305760467673
"242",-8.94836360540863
"243",-8.94836360540863
"244",91.7852694560153
"245",69.2303419205857
"246",17.4836981607989
"247",4135.57532303985
"248",91.7848837191053
"249",6521.7873167687
"250",44007.535099588
"251",80426.7865749964
"252",20892.7876320447
"253",91.7847946966998
"254",68.5696878188693
"255",91.7848540828129
"256",21263.5469357638
"257",1102.0770961574
"258",11230.3969028493
"259",15828.0706462463
"260",11580.0377296709
"261",1535.6860157509
"262",-11576.6265707364
"263",2658.07322620787
"264",-24463.4028399686
"265",33880.1311417506
"266",-104.649752637994
"267",18407.9811311544
"268",3490.07619332895
"269",-1813.93963963787
"270",-86.8631818437328
"271",-83.9950033916782
"272",-1565.54368077964
"273",1874.12132396549
"274",-134.790151832625
"275",474.076838060593
"276",-834.605594314635
"277",108298.141462358
"278",19369.7213000339
"279",2049.15461993963
"280",-19755.5990372151
"281",-11694.6625550585
"282",-1405.79419623315
"283",-5332.27714181195
"284",-947.803909700364
"285",1930.84222593407
"286",379.711072643598
"287",-12625.9271583191
"288",578.715095565965
"289",44.8257870823145
"290",-15139.3788313484
"291",233.949457374712
"292",19.6970704769095
"293",67363.0189472872
"294",-9580.45625466853
"295",-106044.003290332
"296",894.076967194055
"297",-184.91693697994
"298",14.0712913703173
"299",-356.542922735214
"300",-86.858021623455
"301",-83.9894455534716
"302",-208.034867472947
"303",-83.9899542840819
"304",-83.9930063622693
"305",-5494.56931843284
"306",-83.9938830292473
"307",-234.282130471497
"308",14.0680662306647
"309",-86.8642139228371
"310",-86.86472994353
"311",18828.3643613135
"312",-308.983921040005
"313",-86.8683422071238
"314",14.0657440299789
"315",-282.681796949978
"316",-84.0005479150762
"317",-330.299881370428
"318",-1536.37629965444
"319",-1177.67484576876
"320",-86.8704064885775
"321",2634.07863915091
"322",40263.0523638576
"323",-4256.41276264967
"324",-956.014036933581
"325",14.0669051532944
"326",-83.9974954488377
"327",-423.905928719168
"328",-423.905928719168
"329",14.0663889391969
"330",-83.9985133887579
"331",-308.983921040005
"332",3980.15357843414
"333",14.0647118221968
"334",6444.07529029871
"335",36449.9352156001
"336",80349.0720652019
"337",20815.076661064
"338",14.0643247682601
"339",-86.8709225266551
"340",14.0645829687516
"341",6989.33697465268
"342",1037.48643769813
"343",10037.6909206728
"344",15763.4758598439
"345",10163.7418766603
"346",1013.24506583148
"347",-22624.0675760076
"348",2593.4800909809
"349",-40660.1406575485
"350",33750.935072471
"351",-21225.7055943263
"352",17867.8090550933
"353",3425.48495705947
"354",-3048.4610090061
"355",-216.055618223722
"356",-211.351805562352
"357",-2641.0916364786
"358",306.838971303403
"359",-621.695849005505
"360",409.486014419372
"361",-1589.553174676
"362",108168.951998267
"363",12527.3029320555
"364",1919.97357670099
"365",-33786.0624210328
"366",-19363.5665902959
"367",-2519.90248182237
"368",-8917.09451257159
"369",-5240.7984119086
"370",-1277.57874946813
"371",184.966159135501
"372",-21194.2005396433
"373",449.892756728182
"374",-246.485709185004
"375",-25012.9012834113
"376",27.1971100945274
"377",-175.056804417868
"378",67235.6710735509
"379",-15965.3882576564
"380",-174698.085396144
"381",829.486226198251
"382",-376.863776647101
"383",-50.5230821526796
"384",-658.330393285751
"385",-216.047155462466
"386",-211.342690707694
"387",-414.777182655632
"388",-211.343525025894
"389",-211.348530434122
"390",-9084.69368222986
"391",-211.349968167966
"392",-457.822693973256
"393",-50.52837138171
"394",-216.057310833453
"395",-216.058157107389
"396",17026.3575525541
"397",-580.333630505608
"398",-216.064081219683
"399",-50.5321797908346
"400",-537.198146997963
"401",-211.360898580725
"402",-615.291805447501
"403",-2593.25713143329
"404",-2004.98674706077
"405",-216.067466641267
"406",2569.48896820749
"407",32112.6858767265
"408",-18190.7569307455
"409",-4120.18302057107
"410",-50.5302755485972
"411",-211.355892536094
"412",-768.805723099435
"413",-768.805723099435
"414",-50.5311221397172
"415",-211.357561957563
"416",-580.333630505608
"417",3850.97186863199
"418",-50.5338726115972
"419",6379.48347608988
"420",30168.2937535842
"421",80284.4781869311
"422",20750.4857241449
"423",-50.5345073800534
"424",-216.068312943714
"425",-50.5340839312474
"426",-2155.07878168415
"427",996.108047122664
"428",9273.61365084102
"429",15722.0948248049
"430",9256.42734582537
"431",678.55633228935
"432",-29701.3344700096
"433",2552.10011372613
"434",-51036.1758219356
"435",33668.1688405887
"436",-34756.3819929079
"437",17521.7613188666
"438",3384.10619632434
"439",-3839.32626125763
"440",-298.819522779652
"441",-292.93975695294
"442",-3330.11454559825
"443",-697.201285870746
"444",-933.619811256882
"445",368.107518024215
"446",-2073.191468345
"447",108086.189997833
"448",8143.8786650694
"449",1837.21697087623
"450",-42774.328026291
"451",-24276.4582378699
"452",-3233.62810227796
"453",-11213.6181407145
"454",-7990.99801488575
"455",-3332.97343683516
"456",60.2076989193758
"457",-26683.2506745541
"458",367.365945910228
"459",-433.107136481255
"460",-31338.1266042642
"461",-105.253612381841
"462",-299.821005522336
"463",67154.0888419387
"464",-20055.7353220705
"465",-218679.60674518
"466",788.107782747814
"467",-499.829720808876
"468",-91.9038526908494
"469",-851.662991607189
"470",-298.808944328083
"471",-292.928363384617
"472",-547.221478319541
"473",-292.929406282368
"474",-292.935663042652
"475",-11384.6171027873
"476",-292.937460209957
"477",-601.02836746657
"478",-91.9104642271375
"479",-298.821638541816
"480",-298.822696384237
"481",15871.9469406926
"482",-754.16703813201
"483",-298.830101524604
"484",-91.9152247385432
"485",-700.247683747454
"486",-292.951123225906
"487",-797.864756809377
"488",-3270.32141429161
"489",-2534.98343382596
"490",-298.834333301584
"491",2528.11121025936
"492",26891.3573459081
"493",-27117.4461634318
"494",-6147.22877571384
"495",-91.9128444357465
"496",-292.944865670117
"497",-989.757153874294
"498",-989.757153874294
"499",-91.9139026746464
"500",-292.946952446954
"501",-754.16703813201
"502",3768.21483578999
"503",-91.9173407644965
"504",6338.10434511236
"505",26144.1171919803
"506",80243.0977336639
"507",20709.1071551812
"508",-91.9181342250667
"509",-298.835391179643
"510",-91.9176049140592
"511",-3270.25143489595
"512",991.061901930533
"513",9180.43349598348
"514",15717.0483571172
"515",9145.77923230892
"516",637.740633076895
"517",-30564.4157985464
"518",2547.05377503652
"519",-52301.5459639341
"520",33658.0753976763
"521",-36406.4644805398
"522",17479.5603754243
"523",3379.06000599079
"524",-3935.77324323952
"525",-308.912681871839
"526",-302.889507122524
"527",-3414.14172963724
"528",-819.645219672471
"529",-971.659318848513
"530",363.061359927244
"531",-2132.17174806073
"532",108076.097070951
"533",7609.31473007109
"534",1827.12470187321
"535",-43870.4579781517
"536",-24875.5913656228
"537",-3320.66781208962
"538",-11493.6819978051
"539",-8326.38821037076
"540",-3583.63132553846
"541",44.9932525515557
"542",-27352.6470324701
"543",357.301700688526
"544",-455.86584712714
"545",-32109.4955458316
"546",-121.406139513105
"547",-315.03615199849
"548",67144.139789303
"549",-20554.5581348039
"550",-224043.206909697
"551",783.061631107517
"552",-514.825567657873
"553",-96.9502881223336
"554",-875.24013774395
"555",-308.901845409255
"556",-302.87783566229
"557",-563.373221693188
"558",-302.878903996572
"559",-302.885313360766
"560",-11665.095568709
"561",-302.887154361419
"562",-618.492473990145
"563",-96.9570609156042
"564",-308.914849237958
"565",-308.915932881413
"566",15731.1651587583
"567",-775.36623418401
"568",-308.92351863496
"569",-96.9619375370443
"570",-720.131773594953
"571",-302.90115062166
"572",-820.129750877898
"573",-3352.89022927433
"574",-2599.6171761144
"575",-308.927853626013
"576",2523.06514221691
"577",26254.609964101
"578",-28206.0668015643
"579",-6394.42947756052
"580",-96.9594991780817
"581",-302.894740442559
"582",-1016.70245031025
"583",-1016.70245031025
"584",-96.9605832276866
"585",-302.896878116392
"586",-775.36623418401
"587",3758.12251471169
"588",-96.9641051733866
"589",6333.05810962729
"590",25653.3639527603
"591",80238.051336924
"592",20704.0609882344
"593",-96.9649179866537
"594",-308.928937305976
"595",-96.9643757656217
"596",-4162.3895574654
"597",987.024985776829
"598",9105.88937209745
"599",15713.011182967
"600",9057.26074149576
"601",605.088073706931
"602",-31254.8808613758
"603",2543.01670408484
"604",-53313.8420775328
"605",33650.0006433463
"606",-37726.5304706453
"607",17445.7996206705
"608",3375.02305372395
"609",-4012.93082882504
"610",-316.987209145588
"611",-310.849307258191
"612",-3481.36347686842
"613",-917.600366713852
"614",-1002.09092492182
"615",359.024433449668
"616",-2179.35597183332
"617",108068.022729445
"618",7181.66358207244
"619",1819.0508866708
"620",-44747.3619396403
"621",-25354.8978678252
"622",-3390.29957993895
"623",-11717.7330834776
"624",-8594.70036675878
"625",-3784.15763650109
"626",32.8216954572996
"627",-27888.1641188028
"628",349.250304511165
"629",-474.072815643847
"630",-32726.5906990855
"631",-134.328161218117
"632",-327.208269179414
"633",67136.1805471945
"634",-20953.6163849907
"635",-228334.08704131
"636",779.024709795279
"637",-526.822245137071
"638",-100.987436467521
"639",-894.101854653358
"640",-316.976166274194
"641",-310.837413484429
"642",-576.294616392106
"643",-310.838502167935
"644",-310.845033615256
"645",-11889.4783414463
"646",-310.846909682589
"647",-632.463759209004
"648",-100.994338266378
"649",-316.989417794871
"650",-316.990522079154
"651",15618.5397332108
"652",-792.32559102561
"653",-316.998252323245
"654",-100.999307775845
"655",-736.039045472952
"656",-310.861172538263
"657",-837.941746132715
"658",-3418.94528126051
"659",-2651.32416994515
"660",-317.002669885556
"661",2519.02828778294
"662",25745.2120586553
"663",-29076.9633120703
"664",-6592.19003903786
"665",-100.99682297195
"666",-310.854640260513
"667",-1038.25868745902
"668",-1038.25868745902
"669",-100.997927670119
"670",-310.856818651942
"671",-792.32559102561
"672",3750.04865784906
"673",-101.001516700499
"674",6329.02112123924
"675",25260.7613613843
"676",80234.0142195321
"677",20700.0240546769
"678",-101.002344995923
"679",-317.003774207042
"680",-101.001792446872
"681",-5054.52768003485
"682",982.988069623125
"683",9031.34524821142
"684",15708.9740088169
"685",8968.74225068259
"686",572.435514336967
"687",-31945.3459242053
"688",2538.97963313315
"689",-54326.1381911315
"690",33641.9258890163
"691",-39046.5964607508
"692",17412.0388659166
"693",3370.9861014571
"694",-4090.08841441055
"695",-325.061736419337
"696",-318.809107393858
"697",-3548.58522409961
"698",-1015.55551375523
"699",-1032.52253099512
"700",354.987506972092
"701",-2226.5401956059
"702",108059.94838794
"703",6754.0124340738
"704",1810.97707146838
"705",-45624.265901129
"706",-25834.2043700275
"707",-3459.93134778827
"708",-11941.78416915
"709",-8863.01252314679
"710",-3984.68394746373
"711",20.6501383630435
"712",-28423.6812051356
"713",341.198908333803
"714",-492.279784160554
"715",-33343.6858523395
"716",-147.250182923128
"717",-339.380386360337
"718",67128.221305086
"719",-21352.6746351774
"720",-232624.967172924
"721",774.987788483041
"722",-538.818922616268
"723",-105.024584812708
"724",-912.963571562767
"725",-325.050487139132
"726",-318.796991306568
"727",-589.216011091024
"728",-318.798100339298
"729",-318.804753869747
"730",-12113.8611141836
"731",-318.806665003759
"732",-646.435044427864
"733",-105.031615617151
"734",-325.063986351785
"735",-325.065111276895
"736",15505.9143076634
"737",-809.28494786721
"738",-325.07298601153
"739",-105.036678014646
"740",-751.946317350951
"741",-318.821194454866
"742",-855.753741387532
"743",-3485.00033324669
"744",-2703.0311637759
"745",-325.077486145099
"746",2514.99143334898
"747",25235.8141532096
"748",-29947.8598225763
"749",-6789.95060051521
"750",-105.034146765818
"751",-318.814540078466
"752",-1059.81492460779
"753",-1059.81492460779
"754",-105.035272112551
"755",-318.816759187492
"756",-809.28494786721
"757",3741.97480098642
"758",-105.038928227611
"759",6324.98413285119
"760",24868.1587700083
"761",80229.9771021401
"762",20695.9871211195
"763",-105.039772005193
"764",-325.078611108108
"765",-105.039209128122
"766",-5054.52768003485
"767",982.988069623125
"768",9031.34524821142
"769",15708.9740088169
"770",8968.74225068259
"771",572.435514336967
"772",-31945.3459242053
"773",2538.97963313315
"774",-54326.1381911315
"775",33641.9258890163
"776",-39046.5964607508
"777",17412.0388659166
