"","stores_remain"
"1",43567
"2",1203
"3",13094
"4",15929
"5",13793
"6",2352
"7",5685
"8",2759
"9",844
"10",34082
"11",32897
"12",19252
"13",3591
"14",115
"15",115
"16",115
"17",115
"18",4323
"19",626
"20",575
"21",345
"22",108500
"23",30061
"24",2251
"25",2167
"26",288
"27",335
"28",269
"29",5760
"30",6944
"31",684
"32",762
"33",780
"34",500
"35",288
"36",557
"37",324
"38",67562
"39",396
"40",1228
"41",995
"42",115
"43",115
"44",115
"45",115
"46",115
"47",115
"48",115
"49",115
"50",115
"51",115
"52",115
"53",115
"54",115
"55",115
"56",21644
"57",115
"58",115
"59",115
"60",115
"61",115
"62",115
"63",115
"64",115
"65",115
"66",2735
"67",52998
"68",17516
"69",3988
"70",115
"71",115
"72",115
"73",115
"74",115
"75",115
"76",115
"77",4182
"78",115
"79",6545
"80",46265
"81",80450
"82",20916
"83",115
"84",115
"85",115
"86",42674.8618774306
"87",1198.9630838463
"88",13019.455876114
"89",15924.9628258499
"90",13704.4815091868
"91",2319.34744063004
"92",4994.53493717055
"93",2754.96292904831
"94",-168.296113598744
"95",34073.92524567
"96",31576.9340098945
"97",19218.2392452462
"98",3586.96304773316
"99",37.8424144144853
"100",106.925472726251
"101",107.040199864333
"102",47.7782527688146
"103",4225.04485295862
"104",595.568393926695
"105",570.963073522424
"106",297.815776227415
"107",108491.925658494
"108",29633.3488520014
"109",2242.92618479758
"110",1290.0960385114
"111",-191.30650220234
"112",265.368232150674
"113",44.9489143275221
"114",5491.68784361199
"115",6743.47368903736
"116",671.828442905744
"117",226.482913667237
"118",771.948603822639
"119",481.793031483293
"120",-329.095153253935
"121",544.077978294988
"122",311.827882819076
"123",67554.0407578915
"124",-3.05825018674136
"125",-3062.88013161328
"126",990.963078687762
"127",103.003322520802
"128",110.962851654813
"129",96.1382830905914
"130",106.925679135062
"131",107.040422177861
"132",102.078605301082
"133",107.040401828637
"134",107.040279745509
"135",-109.382772737314
"136",107.04024467883
"137",101.02871478114
"138",110.962722649227
"139",106.925431443087
"140",106.925410802259
"141",21531.3745744525
"142",98.0406431583998
"143",106.925266311715
"144",110.962629761199
"145",99.0927281220009
"146",107.039978083397
"147",97.1880047451829
"148",48.9449480138222
"149",63.2930061692496
"150",106.925183740457
"151",2730.96314556604
"152",52488.6020945543
"153",16645.103489494
"154",3790.23943852266
"155",110.962676206132
"156",107.040100182046
"157",93.4437628512333
"158",93.4437628512333
"159",110.962655557568
"160",107.04005946445
"161",98.0406431583998
"162",4173.92614313737
"163",110.962588472888
"164",6540.96301161195
"165",45872.397408624
"166",80445.9628826081
"167",20911.9630664426
"168",110.96257299073
"169",106.925163098934
"170",110.96258331875
"171",42349.8122605903
"172",1200.28629243611
"173",13018.5560363932
"174",15967.191460997
"175",13698.5361526691
"176",2309.55449427839
"177",4665.09407242248
"178",2760.60828246136
"179",-672.099725953672
"180",34164.5600907273
"181",31008.2815703973
"182",19254.836645647
"183",3594.91957159974
"184",-0.41693393382762
"185",103.20765353382
"186",103.379744240944
"187",14.4868235976663
"188",4188.07561277126
"189",582.091479778931
"190",570.541832505858
"191",275.181997674455
"192",108789.27737663
"193",29503.0260557798
"194",2245.14205497416
"195",857.663502211537
"196",-430.159753303509
"197",231.482903781566
"198",-66.3294062864946
"199",5373.53176541798
"200",6662.49942244493
"201",667.642664358616
"202",-39.1589628324782
"203",770.089572400625
"204",474.078436113828
"205",-636.842729880903
"206",539.164189664705
"207",306.641824228615
"208",67737.7333590594
"209",-201.487375280112
"210",-5204.9090863088
"211",991.708506920532
"212",97.3244282256481
"213",109.263721926663
"214",87.0268690803316
"215",103.207963147037
"216",103.380077711236
"217",95.9373523960676
"218",103.3800471874
"219",103.379864062708
"220",-221.254714661526
"221",103.37981146269
"222",94.3625166161546
"223",109.263528418284
"224",103.207591609074
"225",103.207560647833
"226",21535.184083901
"227",89.8804091820441
"228",103.207343912017
"229",109.263389086243
"230",91.4585366274458
"231",103.37941156954
"232",88.6014515622188
"233",16.2368664651778
"234",37.7589536983189
"235",103.20722005513
"236",2736.54194057128
"237",52381.1198084981
"238",16258.3107897966
"239",3702.43693556176
"240",109.263458753642
"241",103.379594717514
"242",82.9850887212944
"243",82.9850887212944
"244",109.263427780796
"245",103.379533641119
"246",89.8804091820441
"247",4181.50588137271
"248",109.263327153776
"249",6557.12507297348
"250",45804.6100018249
"251",80667.4165461343
"252",20968.0445996638
"253",109.26330393054
"254",103.207189092845
"255",109.26331942257
"256",41913.2453784288
"257",1201.10488650671
"258",13008.3381811866
"259",15926.4767661562
"260",13681.5259847998
"261",2295.67997800549
"262",4249.34507482074
"263",2756.4768306552
"264",-1302.44035250844
"265",34076.9532785438
"266",30274.6208821369
"267",19230.8995282789
"268",3588.47690483322
"269",-48.3209804803299
"270",98.4805184321716
"271",98.7243136005962
"272",-27.2073239773802
"273",4138.86197920373
"274",564.810614872005
"275",569.615975679595
"276",246.650191149923
"277",108494.953536559
"278",29319.2468660584
"279",2246.34869825042
"280",315.617970725604
"281",-728.926317179971
"282",188.893604431293
"283",-205.614112609571
"284",5221.83666767547
"285",6556.45936698217
"286",661.935441174706
"287",-371.740475123789
"288",767.22411645644
"289",464.087969679775
"290",-1021.72720066461
"291",532.635148321295
"292",299.934250990537
"293",67557.0254736822
"294",-449.798781646825
"295",-7883.29805745599
"296",991.949319989273
"297",90.145949245594
"298",107.059948655366
"299",75.5577404563957
"300",98.4809570508952
"301",98.7247860168438
"302",88.1809251536884
"303",98.7247427747419
"304",98.724483348096
"305",-361.174503177903
"306",98.7244088314029
"307",85.9499077988116
"308",107.059674518495
"309",98.4804307054477
"310",98.4803868436888
"311",21524.9154151561
"312",79.6002556004885
"313",98.4800798012834
"314",107.059477131437
"315",81.8359361481408
"316",98.7238423161074
"317",77.7883989724025
"318",-24.7280965817389
"319",5.76152699854431
"320",98.4799043373598
"321",2732.47696597877
"322",52209.9627842612
"323",15762.6560262859
"324",3589.9143624162
"325",107.059575826919
"326",98.7241017757377
"327",69.8318849477596
"328",69.8318849477596
"329",107.059531948721
"330",98.7240152508445
"331",79.6002556004885
"332",4188.07638750023
"333",107.059389393776
"334",6542.47688225747
"335",45687.7472711038
"336",80447.4768016301
"337",20913.4769165266
"338",107.059356494191
"339",98.4798604741232
"340",107.059378441233
"341",41811.2302922309
"342",1203.43732413495
"343",13026.0743724373
"344",15969.7146948408
"345",13697.7102509854
"346",2294.05017149634
"347",4092.52047578005
"348",2763.13145180616
"349",-1553.16993646368
"350",34169.6068121835
"351",30035.9849401661
"352",19275.9371173682
"353",3597.44266676651
"354",-67.2909324322641
"355",96.7813310581787
"356",97.0538080111239
"357",-43.6933163407321
"358",4126.38152577672
"359",558.941602242567
"360",570.203966282423
"361",235.81246854011
"362",108794.323840071
"363",29295.8368568366
"364",2250.5830222276
"365",102.411424797897
"366",-847.952942730556
"367",172.416218024517
"368",-260.879661805468
"369",5170.75862857846
"370",6525.6166781304
"371",660.792551901142
"372",-503.503080040313
"373",767.377934078767
"374",460.925116439487
"375",-1175.2009889781
"376",530.951865117264
"377",297.791221695306
"378",67742.7078853773
"379",-548.463344193511
"380",-8952.6069792482
"381",993.703978550102
"382",87.4662243202391
"383",106.370106013513
"384",71.161755673488
"385",96.7818212791051
"386",97.0543360057535
"387",85.2700209234034
"388",97.0542876763456
"389",97.0539977289177
"390",-416.950751917787
"391",97.0539144455548
"392",82.7765309385411
"393",106.369799625246
"394",96.7812330106638
"395",96.781183988698
"396",21556.8812809914
"397",75.6798608345329
"398",96.7808408236566
"399",106.369579016181
"400",78.1785626230855
"401",97.0532812814011
"402",73.6548446031427
"403",-40.9224151338389
"404",-6.84577701469885
"405",96.7806447169185
"406",2739.0649745925
"407",52229.8299745665
"408",15593.5874542149
"409",3551.55199982464
"410",106.369689322896
"411",97.0535712656937
"412",64.7622701050124
"413",64.7622701050124
"414",106.369640282557
"415",97.0534745614013
"416",75.6798608345329
"417",4179.98153578434
"418",106.369480956442
"419",6559.64819071601
"420",45718.1105121487
"421",80669.9397445043
"422",20970.5676831372
"423",106.369444186318
"424",96.7805956933011
"425",106.369468715365
"426",41709.215206033
"427",1201.99077096157
"428",13043.8105636881
"429",15927.9907064625
"430",13713.894517171
"431",2292.42036498718
"432",3935.69587673935
"433",2757.99073226208
"434",-1803.89952041893
"435",34079.9813114175
"436",29797.3489981952
"437",19243.5598113115
"438",3589.99076193329
"439",-86.2608843841983
"440",95.0821436841858
"441",95.3833024216516
"442",-60.179308704084
"443",4113.90107234971
"444",553.07258961313
"445",570.791956885251
"446",224.974745930297
"447",108497.981414624
"448",29272.4268476147
"449",2254.81734620477
"450",-110.795121129809
"451",-966.979568281141
"452",155.938831617741
"453",-316.145211001366
"454",5119.68058948146
"455",6494.77398927863
"456",659.649662627578
"457",-635.265684956837
"458",767.531751701093
"459",457.762263199199
"460",-1328.67477729158
"461",529.268581913234
"462",295.648192400075
"463",67560.0101894729
"464",-647.127906740196
"465",-10021.9159010404
"466",995.458637110932
"467",84.7864993948841
"468",105.680263371661
"469",66.7657708905803
"470",95.082685507315
"471",95.3838859946633
"472",82.3591166931184
"473",95.3838325779492
"474",95.3835121097395
"475",-472.727000657671
"476",95.3834200597068
"477",79.6031540782705
"478",105.679924731998
"479",95.0820353158799
"480",95.0819811337071
"481",21588.8471468268
"482",71.7594660685773
"483",95.0816018460298
"484",105.679680900926
"485",74.5211890980301
"486",95.3827202466948
"487",69.5212902338829
"488",-57.1167336859389
"489",-19.453081027942
"490",95.0813850964771
"491",2733.99078639151
"492",52249.6971648717
"493",15424.518882144
"494",3513.18963723308
"495",105.679802818874
"496",95.3830407556498
"497",59.6926552622651
"498",59.6926552622651
"499",105.679748616393
"500",95.3829338719582
"501",71.7594660685773
"502",4189.57973823535
"503",105.679572519108
"504",6543.99075290299
"505",45748.4737531936
"506",80448.990720652
"507",20914.9907666106
"508",105.679531878445
"509",95.081330912479
"510",105.679558989497
"511",41607.200119835
"512",1204.32320858981
"513",13061.5467549388
"514",15971.2286351471
"515",13730.0787833566
"516",2290.79055847802
"517",3778.87127769865
"518",2764.64535341305
"519",-2054.62910437417
"520",34172.6348450572
"521",29558.7130562244
"522",19288.5974004009
"523",3598.95652386658
"524",-105.230836336133
"525",93.3829563101929
"526",93.7127968321792
"527",-76.6653010674359
"528",4101.4206189227
"529",547.203576983693
"530",571.379947488079
"531",214.137023320484
"532",108797.351718136
"533",29249.0168383928
"534",2248.9815461994
"535",-324.001667057516
"536",-1086.00619383173
"537",139.461445210965
"538",-371.410760197263
"539",5068.60255038446
"540",6463.93130042686
"541",658.506773354014
"542",-767.028289873361
"543",767.685569323419
"544",454.599409958911
"545",-1482.14856560506
"546",527.585298709203
"547",293.505163104845
"548",67745.692601168
"549",-745.792469286881
"550",-11091.2248228326
"551",993.990769671941
"552",82.1067744695292
"553",104.990420729809
"554",62.3697861076726
"555",93.3835497355249
"556",93.713435983573
"557",79.4482124628333
"558",93.7133774795528
"559",93.7130264905612
"560",-528.503249397555
"561",93.7129256738588
"562",76.429777218
"563",104.990049838749
"564",93.3828376210959
"565",93.3827782787163
"566",21620.8130126622
"567",67.8390713026216
"568",93.382362868403
"569",104.98978278567
"570",70.8638155729748
"571",93.7121592119884
"572",65.387735864623
"573",-73.3110522380389
"574",-32.0603850411852
"575",93.3821254760358
"576",2740.57879500524
"577",52269.564355177
"578",15255.4503100731
"579",3474.82727464153
"580",104.989916314851
"581",93.7125102456059
"582",54.6230404195179
"583",54.6230404195179
"584",104.98985695023
"585",93.7123931825151
"586",67.8390713026216
"587",4179.98153578434
"588",104.989664081775
"589",6561.16206136153
"590",45778.8369942385
"591",80671.4536635262
"592",20972.0815332213
"593",104.989619570572
"594",93.3820661316569
"595",104.989649263629
"596",41505.1850336371
"597",1201.99077096157
"598",13079.2829461895
"599",15927.9907064625
"600",13746.2630495422
"601",2289.16075196886
"602",3622.04667865795
"603",2757.99073226208
"604",-2305.35868832941
"605",34079.9813114175
"606",29320.0771142536
"607",19243.5598113115
"608",3589.99076193329
"609",-124.200788288067
"610",91.6837689362001
"611",92.0422912427069
"612",-93.1512934307879
"613",4088.94016549569
"614",541.334564354256
"615",571.967938090907
"616",203.299300710671
"617",108497.981414624
"618",29225.6068291709
"619",2253.21587017657
"620",-537.208212985223
"621",-1205.03281938231
"622",122.984058804189
"623",-426.67630939316
"624",5017.52451128745
"625",6433.08861157509
"626",657.36388408045
"627",-898.790894789885
"628",767.839386945745
"629",451.436556718623
"630",-1635.62235391855
"631",525.902015505172
"632",291.362133809614
"633",67560.0101894729
"634",-844.457031833567
"635",-12160.5337446248
"636",995.74542823277
"637",79.4270495441742
"638",104.300578087956
"639",57.9738013247649
"640",91.6844139637348
"641",92.0429859724827
"642",76.5373082325483
"643",92.0429223811564
"644",92.042540871383
"645",-584.279498137439
"646",92.0424312880107
"647",73.2564003577295
"648",104.3001749455
"649",91.683639926312
"650",91.6835754237254
"651",21652.7788784975
"652",63.918676536666
"653",91.6831238907762
"654",104.299884670414
"655",67.2064420479195
"656",92.0415981772821
"657",61.2541814953632
"658",-89.5053707901389
"659",-44.6676890544283
"660",91.6828658555944
"661",2733.99078639151
"662",52289.4315454822
"663",15086.3817380021
"664",3436.46491204997
"665",104.300029810828
"666",92.041979735562
"667",49.5534255767707
"668",49.5534255767707
"669",104.299965284066
"670",92.0418524930719
"671",63.918676536666
"672",4189.57973823535
"673",104.299755644441
"674",6543.99075290299
"675",45809.2002352834
"676",80448.990720652
"677",20914.9907666106
"678",104.299707262699
"679",91.6828013508348
"680",104.299739537761
"681",41403.1699474392
"682",1204.32320858981
"683",13097.0191374402
"684",15971.2286351471
"685",13762.4473157278
"686",2287.5309454597
"687",3465.22207961726
"688",2764.64535341305
"689",-2556.08827228465
"690",34172.6348450572
"691",29081.4411722828
"692",19288.5974004009
"693",3598.95652386658
"694",-143.170740240001
"695",89.9845815622072
"696",90.3717856532345
"697",-109.63728579414
"698",4076.45971206867
"699",535.465551724818
"700",572.555928693735
"701",192.461578100858
"702",108797.351718136
"703",29202.196819949
"704",2248.9815461994
"705",-750.41475891293
"706",-1324.0594449329
"707",106.506672397413
"708",-481.941858589057
"709",4966.44647219045
"710",6402.24592272332
"711",656.220994806886
"712",-1030.55349970641
"713",767.993204568072
"714",448.273703478335
"715",-1789.09614223203
"716",524.218732301142
"717",289.219104514383
"718",67745.692601168
"719",-943.121594380252
"720",-13229.842666417
"721",993.990769671941
"722",76.7473246188193
"723",103.610735446104
"724",53.5778165418572
"725",89.9852781919447
"726",90.3725359613925
"727",73.6264040022633
"728",90.3724672827601
"729",90.3720552522047
"730",-640.055746877322
"731",90.3719369021627
"732",70.0830234974589
"733",103.610300052251
"734",89.9844422315281
"735",89.9843725687345
"736",21615.8436436131
"737",59.9982817707104
"738",89.9838849131494
"739",103.609986555158
"740",63.5490685228641
"741",90.3710371425758
"742",57.1206271261033
"743",-105.699689342239
"744",-57.2749930676715
"745",89.9836062351531
"746",2740.57879500524
"747",52309.2987357875
"748",14917.3131659312
"749",3398.10254945841
"750",103.610143306806
"751",90.371449225518
"752",44.4838107340234
"753",44.4838107340234
"754",103.610073617903
"755",90.3713118036288
"756",59.9982817707104
"757",4179.98153578434
"758",103.609847207108
"759",6561.16206136153
"760",45839.5634763283
