"","stores_remain"
"1",100
"2",100
"3",13830
"4",100
"5",100
"6",7877
"7",4017
"8",3417
"9",4720
"10",768
"11",756
"12",468
"13",360
"14",11035
"15",900
"16",675
"17",500
"18",18396
"19",3343
"20",10073
"21",7741
"22",476
"23",10066
"24",810
"25",810
"26",9896
"27",9297
"28",533
"29",585
"30",180130
"31",7145
"32",637
"33",637
"34",1911
"35",2271
"36",1987
"37",744
"38",1563
"39",1762
"40",845
"41",1994
"42",1450
"43",1515
"44",1494
"45",1616
"46",1605
"47",1621
"48",885
"49",666
"50",2106
"51",1557
"52",1871
"53",1120
"54",1537
"55",1808
"56",1962
"57",1676
"58",49394
"59",14694
"60",3499
"61",14797
"62",14309
"63",5570
"64",7464
"65",6421
"66",6712
"67",5513
"68",4516
"69",394
"70",795
"71",437
"72",616
"73",935
"74",298
"75",118
"76",1070
"77",487
"78",456
"79",413
"80",350
"81",683
"82",459
"83",710
"84",840
"85",506
"86",17
"87",17
"88",17
"89",17
"90",17
"91",17
"92",17
"93",17
"94",17
"95",17
"96",17
"97",17
"98",17
"99",17
"100",17
"101",17
"102",17
"103",17
"104",17
"105",17
"106",17
"107",17
"108",3645
"109",17
"110",900
"111",960
"112",720
"113",10419
"114",8369
"115",17414
"116",1200
"117",1200
"118",300
"119",3000
"120",960
"121",17
"122",17
"123",17
"124",17
"125",17
"126",17
"127",17
"128",17
"129",17
"130",17
"131",17
"132",41948
"133",10282
"134",8384
"135",9299
"136",5061
"137",13777
"138",17
"139",17
"140",17
"141",17
"142",17
"143",17
"144",17
"145",17
"146",17
"147",17
"148",17
"149",17
"150",17
"151",17
"152",300
"153",780
"154",720
"155",330
"156",480
"157",150
"158",780
"159",960
"160",480
"161",700
"162",840
"163",17
"164",17
"165",17
"166",17
"167",17
"168",17
"169",17
"170",17
"171",17
"172",17
"173",17
"174",94.9453151978121
"175",99.9691481840118
"176",13827.5944700347
"177",97.255417206213
"178",84.099700101071
"179",6750.9492907919
"180",4012.50111901631
"181",3415.48601543957
"182",4701.31634780929
"183",754.196804306582
"184",595.185413718224
"185",372.418311190158
"186",355.466772911153
"187",11031.9719058501
"188",896.971905849325
"189",673.485947059076
"190",498.486001244886
"191",17755.3082338333
"192",3329.82177195927
"193",9906.47115778307
"194",7653.13927820137
"195",402.863303932957
"196",10064.4860031789
"197",799.830625704937
"198",789.94366530573
"199",9892.98064743035
"200",8061.46316032156
"201",297.411582177635
"202",583.485945843905
"203",179502.513217513
"204",7140.43546886813
"205",632.567910205619
"206",635.486039186772
"207",1909.48598769989
"208",2241.84657223242
"209",972.347077741176
"210",742.485976807475
"211",1551.66705352601
"212",1759.01497312447
"213",843.485963261444
"214",1951.8117556975
"215",1440.33779024119
"216",1511.97193293812
"217",1492.48596713142
"218",1614.48596519628
"219",1599.76054147215
"220",1619.48597487505
"221",883.485997375781
"222",602.66162203867
"223",2036.4130147226
"224",1404.35618910953
"225",1786.17423358181
"226",1096.37997281795
"227",1530.24701369941
"228",1800.41473921738
"229",1960.48599350617
"230",1662.73194668896
"231",49384.3369229342
"232",14690.9718400493
"233",3490.84149816805
"234",14795.4858328703
"235",14304.4349593577
"236",5566.97183230806
"237",7360.54014772782
"238",6400.2511027489
"239",6686.53916776709
"240",5460.45287781022
"241",4467.88265235859
"242",386.549011345264
"243",793.485921901912
"244",376.176329311435
"245",589.813605912309
"246",933.485898677846
"247",294.980442421753
"248",109.020836878698
"249",1062.54889633023
"250",483.97176506049
"251",454.485879322663
"252",6.45787077062761
"253",-61.7566871856153
"254",681.485868357997
"255",453.760222682087
"256",707.01476243265
"257",836.971713429717
"258",503.014714164184
"259",-80.2905459279893
"260",-117.038640824589
"261",4.66723142771516
"262",12.5675511123333
"263",6.72480106996372
"264",14.0148651733436
"265",15.4858967388142
"266",5.99499922677875
"267",-14.7621401301771
"268",2.7675356746465
"269",13.9717742475402
"270",15.4858522235975
"271",13.9803575011715
"272",-1.73383935592137
"273",15.4858652220666
"274",15.4858669519611
"275",1.13064861697843
"276",0.416838911212981
"277",-29.490575536117
"278",14.0147141641378
"279",-67.5611596083269
"280",-730.611092658509
"281",3625.85112909693
"282",-355.591918812664
"283",861.81524860871
"284",958.485896738702
"285",358.290616910998
"286",10411.8432460711
"287",8367.48584713962
"288",17408.760206601
"289",1194.03422846109
"290",1198.48584713877
"291",283.517934484296
"292",2991.24656228073
"293",958.485858755996
"294",14.0147163588367
"295",2.91393404125309
"296",13.9716852165014
"297",0.668335004895926
"298",-0.0552827324531968
"299",-46.3304691539612
"300",-1.76286185606383
"301",5.66622984230518
"302",0.594040465904399
"303",-0.766183812119998
"304",-8.14378515089022
"305",41853.3675681774
"306",8969.40801411882
"307",8275.51689271737
"308",9270.97840192057
"309",4969.62197311141
"310",13749.005937415
"311",5.15759069578722
"312",5.99490215137601
"313",-4.76350333515555
"314",7.30883656100239
"315",12.5007020972157
"316",12.5007020972157
"317",3.59769173088483
"318",10.8379717902839
"319",11.0533809722215
"320",-745.636303160153
"321",2.91442016477909
"322",-714.37416078981
"323",13.980406746529
"324",7.30883656015463
"325",291.020333111333
"326",775.435060281195
"327",716.971762632336
"328",322.548716812143
"329",474.760233396962
"330",135.909323831245
"331",762.47332307972
"332",956.980441483427
"333",257.660904446095
"334",698.48587810697
"335",836.971754886406
"336",12.4350836224481
"337",15.4858993996028
"338",-2.50674730403349
"339",-31.0142042666674
"340",-5.49551306208596
"341",-2.97983730528504
"342",15.485907137515
"343",4.83354626562446
"344",9.53496756482869
"345",13.971770376144
"346",-36.8130574211478
"347",84.8536261253631
"348",98.7328389090345
"349",13863.0260525883
"350",90.0821022825483
"351",63.7804159848343
"352",5646.77913713935
"353",4019.16057136596
"354",3423.46369754581
"355",4695.7438067297
"356",742.526941946497
"357",436.470827436447
"358",278.136622380316
"359",351.933545822306
"360",11059.596589478
"361",896.443811698649
"362",673.846894118152
"363",498.360891378661
"364",17165.7164676666
"365",3325.92965502965
"366",9767.92287112169
"367",7586.78133418051
"368",331.048830088137
"369",10090.9331174688
"370",791.911251409873
"371",772.13733061146
"372",9917.45018374958
"373",6851.75132064313
"374",63.3037199108261
"375",583.596891687811
"376",179375.387546137
"377",7155.71815995848
"378",629.905264855683
"379",635.741522817988
"380",1913.28030873311
"381",2219.00147779818
"382",-36.7864000732038
"383",743.038620281617
"384",1544.67577371868
"385",1760.92439069339
"386",844.31914874511
"387",1915.1624002839
"388",1434.70335826017
"389",1513.15219920957
"390",1495.12193426283
"391",1617.46081928144
"392",1598.97941627763
"393",1622.47472752787
"394",884.430328084895
"395",541.17324407734
"396",1972.6760294452
"397",1256.03737821907
"398",1706.54568938583
"399",1075.87105674702
"400",1527.76347184326
"401",1797.85170065697
"402",1964.42198701235
"403",1654.11944893349
"404",49511.879401424
"405",14728.7603467652
"406",3492.40244078054
"407",14835.0744435183
"408",14339.6171409377
"409",5579.41588683835
"410",7277.81362878898
"411",6397.33831660892
"412",6679.72277997863
"413",5423.21964450934
"414",4432.30974916163
"415",380.192467134972
"416",794.180177137156
"417",316.566547511759
"418",565.338322935729
"419",934.569019577915
"420",292.788662621284
"421",100.369451535174
"422",1058.07001488269
"423",482.296307898758
"424",454.238425311993
"425",-398.937036236523
"426",-472.541152149008
"427",681.868958938217
"428",449.795445364173
"429",706.001747087522
"430",836.276760192768
"431",501.434983883924
"432",-177.533869633756
"433",-251.030059426956
"434",-7.61831492234746
"435",8.18232444688885
"436",-3.50317563785033
"437",11.0769525689094
"438",14.0190156998506
"439",-4.96277932422029
"440",-46.4770580381321
"441",-11.4177064284848
"442",10.9907707173025
"443",14.0189266694172
"444",11.0079372245653
"445",-20.4204564896205
"446",14.0189526663555
"447",14.0189561261444
"448",-14.6914805438209
"449",-16.1190999553518
"450",-75.9339288500117
"451",11.0766505504979
"452",-152.075096994432
"453",-1478.17496309479
"454",3616.82725819387
"455",-728.136615403106
"456",826.13049721742
"457",959.638460144071
"458",-1.41876617800449
"459",10433.6281588089
"460",8389.21891650146
"461",17451.8926354242
"462",1191.40179025551
"463",1200.30502761088
"464",267.869202301924
"465",2990.82645789479
"466",959.63838417866
"467",11.0766549398957
"468",-11.1249096952716
"469",10.9905926552249
"470",-15.6161077679859
"471",-17.0633432426842
"472",-109.6137160857
"473",-20.4785014899054
"474",-5.62031809316741
"475",-15.764696845969
"476",-18.4851454020178
"477",-33.2403480795582
"478",41875.2573585771
"479",7685.37713934875
"480",8190.32267432363
"481",9268.7873593967
"482",4892.30227955615
"483",13759.2813192743
"484",-6.63759638620334
"485",-4.96297347502576
"486",-26.4797844480889
"487",-2.335104655773
"488",8.0486264166536
"489",8.0486264166536
"490",-9.75739431600811
"491",4.72316580279006
"492",5.15398416666521
"493",-1508.22538409808
"494",-11.1239374482196
"495",-1445.7010993574
"496",11.0080357152803
"497",-2.33510465746852
"498",282.873999555999
"499",773.036787229056
"500",715.943525264673
"501",316.014100290953
"502",470.853800127258
"503",122.235314329156
"504",747.113312826107
"505",956.62754963352
"506",36.6551422255238
"507",698.916200658385
"508",836.276843106144
"509",7.91738946711852
"510",14.0190210214278
"511",-21.9662723858448
"512",-78.9811863111125
"513",-27.9438039019497
"514",-22.9124523883479
"515",14.0190364972523
"516",-7.28568524652885
"517",2.11715735187961
"518",10.9907629745102
"519",-90.5788926200734
"520",71.3054481028385
"521",96.9918339498055
"522",13826.0198878493
"523",80.425089791736
"524",36.5954445705928
"525",4167.25874708411
"526",4011.00149202175
"527",3414.98135391943
"528",4683.94338158654
"529",726.256014355272
"530",224.151379060745
"531",151.99437063386
"532",346.889243037176
"533",11030.9625411335
"534",894.906352831082
"535",673.703156863588
"536",497.731115260731
"537",16362.5607794444
"538",3317.64479541979
"539",9573.864970388
"540",7491.13648289345
"541",234.855457554302
"542",10063.9813375718
"543",780.602085683122
"544",747.6455510191
"545",9891.97419657379
"546",5230.19386773855
"547",-249.333614963438
"548",583.203152813017
"549",179039.099613932
"550",7138.91395849084
"551",625.765256240954
"552",635.492352844795
"553",1908.98131693318
"554",2186.43857410808
"555",-1384.13751864053
"556",743.086589358251
"557",1533.90684508669
"558",1761.83879930379
"559",844.647655315925
"560",1864.45029676946
"561",1425.84818969287
"562",1513.32310979373
"563",1491.98128950855
"564",1613.98128692837
"565",1596.45180490715
"566",1618.98129983339
"567",884.869991252602
"568",458.572073462233
"569",1885.74338240867
"570",1056.83729703178
"571",1598.64188971713
"572",1047.48879828207
"573",1523.02893455358
"574",1792.7602418357
"575",1959.9813246749
"576",1641.08426674099
"577",49381.1158972456
"578",14689.962453399
"579",3491.24388278237
"580",14794.9811104937
"581",14302.9132791436
"582",5565.96244307742
"583",7160.60049242607
"584",6387.50923138524
"585",6664.41944811253
"586",5368.47070381186
"587",4380.6977300842
"588",371.352260039767
"589",794.369739673038
"590",236.682208815895
"591",532.134241929919
"592",935.147440037266
"593",289.590363628065
"594",88.7250118178833
"595",1051.10743221189
"596",479.611439090522
"597",453.486264408876
"598",-939.84598632013
"599",-1020.57784617427
"600",681.747338971102
"601",444.084075606956
"602",703.993652553277
"603",834.572378099058
"604",498.860158325059
"605",-307.20737531552
"606",-429.701024970852
"607",-24.0147841298384
"608",2.31961481888882
"609",-17.1562186556765
"610",7.14399502225634
"611",12.0474335738251
"612",-19.5888914662931
"613",-88.7793559894794
"614",-30.3471033067339
"615",7.00035860291165
"616",12.0472851897693
"617",7.02896944834954
"618",-45.3516867419601
"619",12.0473285179999
"620",12.0473342843147
"621",-35.8033934989608
"622",-38.1827591848456
"623",-137.874140675945
"624",7.14349165823725
"625",-264.776087583312
"626",-2474.94253108392
"627",3601.42043032311
"628",-1224.87861826444
"629",777.717495362367
"630",960.286322462341
"631",-481.697943630008
"632",10409.4576614282
"633",8366.98112951949
"634",17407.0136088013
"635",1186.78076153696
"636",1197.98112951836
"637",246.726448280985
"638",2987.48854093577
"639",960.286195853321
"640",7.14349897390025
"641",-29.8591087513786
"642",7.00006183278229
"643",-37.3444388725691
"644",-39.7564979970662
"645",-194.007119402093
"646",-45.4484284091017
"647",-20.6847894145383
"648",-37.5920873358742
"649",-42.1261682626222
"650",-66.7181727251896
"651",41865.6030050359
"652",5963.81560261829
"653",8068.96742016901
"654",9257.25578417969
"655",4784.52324370469
"656",13760.2253469387
"657",-22.3802532362648
"658",-19.5892150509689
"659",-55.4505666727407
"660",-15.2094336855476
"661",2.09678476849674
"662",2.09678476849674
"663",-27.5799164526061
"664",-3.4456495879425
"665",-2.72761898148391
"666",-2525.0265660894
"667",-29.8574883396252
"668",-2420.81942485492
"669",7.02913359954125
"670",-15.2094336883734
"671",271.734443704442
"672",769.116867603982
"673",713.905875441121
"674",306.995722707144
"675",465.200777989874
"676",103.864412770815
"677",725.9110769324
"678",955.268138278089
"679",-258.463651846349
"680",698.841815912123
"681",834.572516288019
"682",1.8780565192716
"683",12.0474424431204
"684",-47.9280465690005
"685",-142.952903111113
"686",-57.8905990958421
"687",-49.505013239839
"688",12.0474682361612
"689",-23.4604013368073
"690",-7.78899700612657
"691",7.0003456982577
"692",-162.282413626048
"693",57.757270080314
"694",95.2508289905765
"695",13860.4564423652
"696",70.7680773009237
"697",9.41047315635123
"698",2687.73835702886
"699",4016.16131737683
"700",3422.45437450553
"701",4672.14295644337
"702",709.985086764047
"703",11.8319306850434
"704",25.8521188874046
"705",341.844940252046
"706",11057.5778600448
"707",893.368893963515
"708",673.559419609023
"709",497.101339142801
"710",15559.4050912221
"711",3309.35993580993
"712",9379.80706965431
"713",7395.49163160638
"714",138.662085020468
"715",10089.9237862547
"716",769.292919956371
"717",723.15377142674
"718",9915.43728203648
"719",3608.63641483396
"720",-561.970949837702
"721",582.809413938224
"722",178702.811681727
"723",7152.6751392039
"724",621.625247626224
"725",635.243182871602
"726",1912.2709671997
