"","site","year","20","30","40","70","total_basin_area","total_basin_20","total_basin_30","total_basin_40","total_basin_70","percent_20_treated","untreated_20","percent_30_treated","untreated_30","percent_40_treated","untreated_40","percent_70_treated","untreated_70"
"1","cb","2019",22986.5878928304,255.147084367665,NA,NA,22228468.021715,6919133.14917607,3532228.50683463,7643410.75315109,4133695.61255317,0.332217741691641,6896146.56128324,0.0072234025594316,3531973.35975026,NA,NA,NA,4110709.02466034
"2","cb","2018",23241.7349771988,NA,NA,NA,22228468.0217195,7935511.20043681,3753136.65193971,8442458.43814976,2097361.73119321,0.29288264347632,7912269.46545961,NA,NA,NA,NA,NA,2074119.99621601
"3","cb","2017",18113.7820519032,5127.95292530756,NA,NA,22228468.0217231,3399814.11919142,6289073.98141063,8208790.38485309,4330789.53626796,0.532787423572768,3381700.33713952,0.0815374877202091,6283946.02848532,NA,NA,NA,4312675.75421606
"4","cr","2019",205596.63856311,705.333281106148,7575.32293948811,20970.8392559933,33453008.3603996,19582485.1193068,1750562.51847371,5379667.06336928,6740293.65924988,1.04990065004777,19376888.4807437,0.0402918075568714,1749857.1851926,0.140813973248815,5372091.74042979,0.311126492644938,6534697.02068677
"5","cr","2018",213466.254749659,179.382514720783,9416.6564308205,11785.8403444844,33453008.3603978,21344670.0807246,1379242.77692388,5829145.8141761,4899949.68857313,1.00009161042236,21131203.8259749,0.0130058694322735,1379063.39440916,0.161544362261788,5819729.15774528,0.240529823642259,4686483.43382347
"6","cr","2017",197855.574295935,20863.5278967863,1798.83989544184,14330.1919514285,33453008.3604001,16698421.5455834,5236310.38858561,4263903.4997474,7254372.92648359,1.18487591031181,16500565.9712875,0.398439480254373,5215446.86068882,0.0421876314871667,4262104.65985196,0.197538672145089,7056517.35218765
"7","cr","2016",207080.760024978,6043.6285681702,0.884822571533732,21722.8606239469,33453008.3604016,18065267.4272251,2321728.48963235,2441133.92273433,10624878.5208098,1.14629224759164,17858186.6672001,0.260307292396934,2315684.86106418,0.0000362463756409823,2441133.03791176,0.204452790508622,10417797.7607848
"8","cr","2015",208016.681685116,849.050324171461,2511.75284363725,23470.6491867302,33453008.3604102,19493408.7880068,987871.536956533,3446051.16141181,9525676.87403502,1.06711290953431,19285392.1063217,0.0859474428008366,987022.486632362,0.0728878570278746,3443539.40856817,0.246393505648992,9317660.1923499
"9","cr","2014",171395.760457873,20148.7480845196,15795.629466967,7386.89778631025,33453008.3604129,17511850.8634119,4823055.24682079,5795580.11256099,5322522.1376192,0.978741549335462,17340455.102954,0.417759014844399,4802906.49873627,0.272546132745755,5779784.48309402,0.138785665804942,5151126.37716133
"10","cr","2013",194532.267850515,72.8924094904214,124.613908177707,19997.2616274541,33453008.3604115,20047715.6529021,539246.078970283,3696525.44242672,9169521.18611238,0.970346303881035,19853183.3850516,0.0135174667620417,539173.186560793,0.00337110917045116,3696400.82851854,0.218084033196202,8974988.91826187
"11","cr","2012",192918.557819579,116.756668508053,403.859663703479,21287.8616438763,33453008.3604126,18104002.8390317,1149629.16943346,3427973.34303513,10771403.0089123,1.06561272407477,17911084.2812121,0.0101560287101614,1149512.41276495,0.0117812953395344,3427569.48337143,0.197633136799938,10578484.4510927
"12","cr","2011",163889.92699931,26769.7944894551,2957.96243273641,21109.3518740554,33453008.3604014,13173966.5659715,7697050.44142993,4476221.82918962,8105769.52381032,1.24404389656369,13010076.6389722,0.347792894085308,7670280.64694047,0.0660816765926886,4473263.86675688,0.260423785947129,7941879.59681101
"13","cr","2010",190573.865109525,184.209613271058,2808.59737646184,21160.3636962686,33453008.3604084,17626939.1933139,309435.569815174,5815707.25948186,9700926.33779755,1.08115120282375,17436365.3282044,0.0595308462375822,309251.360201903,0.0482933072651264,5812898.6621054,0.218127248465147,9510352.47268803
"14","sb","2019",11137.2981236456,NA,NA,NA,36455509.7500174,1573663.64545729,952334.297578166,31229332.5610286,2700179.24595336,0.70773053414532,1562526.34733364,NA,NA,NA,NA,NA,2689041.94782971
"15","sb","2018",11137.2981236456,NA,NA,NA,36455509.7499936,2729038.97992424,37396.3938995639,31130443.1583548,2558631.21781501,0.408103299570854,2717901.68180059,NA,NA,NA,NA,NA,2547493.91969136
"16","sb","2017",11006.7623984637,130.535725200549,NA,NA,36455509.7499955,941566.945357407,190355.455336883,30754847.2811745,4568740.06812675,1.16898351760699,930560.182958943,0.0685747224683066,190224.919611682,NA,NA,NA,4557733.30572829
"17","sb","2016",11137.2981236456,NA,NA,NA,36455509.7500064,841794.061035707,75220.3249645919,30524897.845289,5013597.51871708,1.32304308608958,830656.762912061,NA,NA,NA,NA,NA,5002460.22059343
"18","sb","2015",11137.2981236456,NA,NA,NA,36455509.7500093,857114.013266323,220959.71718956,30902900.0383068,4474535.98124664,1.29939517395161,845976.715142677,NA,NA,NA,NA,NA,4463398.68312299
