"","site","year","20","30","40","70","total_basin_area","total_basin_20","total_basin_30","total_basin_40","total_basin_70","percent_20_treated","untreated_20","percent_30_treated","untreated_30","percent_40_treated","untreated_40","percent_70_treated","untreated_70"
"1","cb","2019",3002.74771299586,NA,NA,NA,22228468.021715,6919133.14917607,3532228.50683463,7643410.75315109,4133695.61255317,0.0433977443164744,6916130.40146307,NA,NA,NA,NA,NA,4130692.86484017
"2","cb","2018",3002.74771299586,NA,NA,NA,22228468.0217195,7935511.20043681,3753136.65193971,8442458.43814976,2097361.73119321,0.0378393733831611,7932508.45272381,NA,NA,NA,NA,NA,2094358.98348021
"3","cb","2017",1591.08092164295,1411.66679134523,NA,NA,22228468.0217231,3399814.11919142,6289073.98141063,8208790.38485309,4330789.53626796,0.0467990562384439,3398223.03826978,0.0224463378156762,6287662.31461929,NA,NA,NA,4329198.45534632
"4","cr","2019",826177.016996211,4621.65865734386,76232.4142559525,222399.356616057,33453008.3603996,19582485.1193068,1750562.51847371,5379667.06336928,6740293.65924988,4.2189589930119,18756308.1023106,0.264009917302092,1745940.85981637,1.41704706551502,5303434.64911333,3.29954995819585,5914116.64225367
"5","cr","2018",901141.784865657,3625.8633386381,89772.6566072296,134890.141714253,33453008.3603978,21344670.0807246,1379242.77692388,5829145.8141761,4899949.68857313,4.22185857854714,20443528.2958589,0.262887970073321,1375616.91358524,1.5400653795434,5739373.15756887,2.75288830064566,3998807.90370747
"6","cr","2017",807882.933106994,115267.830218685,52135.4464878579,154144.236712165,33453008.3604001,16698421.5455834,5236310.38858561,4263903.4997474,7254372.92648359,4.83807964065126,15890538.6124764,2.20131775362193,5121042.55836693,1.22271637927421,4211768.05325954,2.12484577611705,6446489.9933766
"7","cr","2016",836881.896147545,45191.7806354509,24076.2521317351,223280.517610789,33453008.3604016,18065267.4272251,2321728.48963235,2441133.92273433,10624878.5208098,4.63254640164546,17228385.5310776,1.94647138273292,2276536.7089969,0.986273301415892,2417057.67060259,2.10148772217465,9787996.62466225
"8","cr","2015",869598.393289122,10867.1308166794,45127.7344204863,203837.187999723,33453008.3604102,19493408.7880068,987871.536956533,3446051.16141181,9525676.87403502,4.46098680198066,18623810.3947177,1.10005505879431,977004.406139854,1.30954917111556,3400923.42699132,2.13987090571317,8656078.4807459
"9","cr","2014",503690.570660194,76421.9666540003,105183.861660426,94153.2754085083,33453008.3604129,17511850.8634119,4823055.24682079,5795580.11256099,5322522.1376192,2.8762840352448,17008160.2927517,1.58451360689628,4746633.28016679,1.81489789835632,5690396.25090056,1.76895977083946,4818831.56695901
"10","cr","2013",567507.908486053,3362.04068209912,40965.8230822224,142913.195725222,33453008.3604115,20047715.6529021,539246.078970283,3696525.44242672,9169521.18611238,2.83078590255195,19480207.744416,0.623470584805939,535884.038288184,1.10822510815261,3655559.6193445,1.55856770298617,8602013.27762633
"11","cr","2012",351953.98813488,1915.258988872,31003.2265123088,212323.659243293,33453008.3604126,18104002.8390317,1149629.16943346,3427973.34303513,10771403.0089123,1.94406723896484,17752048.8508968,0.166597981313908,1147713.91044459,0.904418541506467,3396970.11652282,1.97117923326808,10419449.0207774
"12","cr","2011",217043.534726712,199708.49209093,47223.7333745329,133220.372687298,33453008.3604014,13173966.5659715,7697050.44142993,4476221.82918962,8105769.52381032,1.64751848761585,12956923.0312448,2.59461067080949,7497341.949339,1.05499090922137,4428998.09581509,1.64352529757932,7888725.98908361
"13","cr","2010",384383.725287741,2874.4946242684,71224.4129304667,138713.500037042,33453008.3604084,17626939.1933139,309435.569815174,5815707.25948186,9700926.33779755,2.18066064148869,17242555.4680262,0.928947705005387,306561.075190906,1.22469047619863,5744482.84655139,1.42989952924986,9316542.61250981
"14","sb","2019",3614.54871494509,NA,15.1886915706564,3184.62461131683,36455509.7500174,1573663.64545729,952334.297578166,31229332.5610286,2700179.24595336,0.229690043700205,1570049.09674235,NA,NA,0.0000486359788220722,31229317.372337,0.117941229867961,2696564.69723842
"15","sb","2018",3537.38414515942,NA,186.189651312947,3090.78822134092,36455509.7499936,2729038.97992424,37396.3938995639,31130443.1583548,2558631.21781501,0.129620139953355,2725501.59577908,NA,NA,0.000598095087711519,31130256.9687035,0.120798503505338,2555093.83366985
"16","sb","2017",3065.73438871925,461.772166378796,NA,3286.85546270094,36455509.7499955,941566.945357407,190355.455336883,30754847.2811745,4568740.06812675,0.325599194389257,938501.210968688,0.242584151613397,189893.683170504,NA,NA,0.0719422732238869,4565674.33373803
"17","sb","2016",3496.66621421168,NA,NA,3317.69580358558,36455509.7500064,841794.061035707,75220.3249645919,30524897.845289,5013597.51871708,0.415382618631157,838297.394821495,NA,NA,NA,NA,0.0661739557513292,5010100.85250287
"18","sb","2015",2342.95478525004,933.531823560043,194.802273078647,3343.07313591337,36455509.7500093,857114.013266323,220959.71718956,30902900.0383068,4474535.98124664,0.273353923630465,854771.058481073,0.42248959920562,220026.185366,0.000630368906598322,30902705.2360337,0.0747132920580956,4472193.02646139
"19","sb","2014",282.54484017755,762.381667729613,NA,162.577883039329,36455509.7499974,1124462.30726578,1783931.46476133,30345263.3146833,3201852.66328704,0.025127106382479,1124179.7624256,0.04273604018928,1783169.0830936,NA,NA,0.00507761912043842,3201570.11844686
"20","sb","2013",376.847055187129,251.645399257541,NA,579.011936509894,36455509.7500116,1314472.9076932,1394683.50670478,29916686.8347401,3829666.50087354,0.0286690621755352,1314096.06063801,0.0180431903043081,1394431.86130552,NA,NA,0.0151191216357305,3829289.65381835
"21","sb","2012",1143.18404931575,NA,NA,64.3203416410834,36455509.750019,685047.572464109,5561.28028324712,30776582.9552645,4988317.94200709,0.166876592993933,683904.388414793,NA,NA,NA,NA,0.00128941944737395,4987174.75795777
"22","sb","2011",NA,1030.91803069855,NA,176.586360247806,36455509.7500051,437291.357964362,2195679.54138707,30403320.1997095,3419218.65094417,NA,NA,0.0469521171585582,2194648.62335637,NA,NA,0.00516452377794102,NA
"23","sb","2010",525.156635215972,NA,NA,682.347755737657,36455509.7500107,1052714.87753184,39575.1803369466,30727057.0837542,4636162.60838776,0.0498859326893181,1052189.72089662,NA,NA,NA,NA,0.01471794269043,4635637.45175254
"24","tr104","2019",1489106.2149055,38844.5553725593,38985.3422699395,393133.717859279,12447556.8145626,5787290.04834515,168095.48702686,3377855.98969344,3114315.28949712,25.7306304412945,4298183.83343965,23.1086247820278,129250.931654301,1.15414459316478,3338870.6474235,12.6234398676686,1625209.07459162
"25","tr104","2018",1679760.94046126,15694.542020573,39660.0704274954,224597.541287435,12447556.8145564,7502970.11152553,53931.5014375592,3183000.250192,1707654.95140135,22.3879465797275,5823209.17106427,29.1008809364297,38236.9594169862,1.2459964596328,3143340.1797645,13.152395986269,27894.0109400919
"26","tr104","2017",1188059.37734697,384697.924565316,27543.178392042,359412.613893342,12447556.8145602,4988017.49015812,1506426.39634875,2731437.14078473,3221675.78726862,23.8182680732603,3799958.11281115,25.537120532257,1121728.47178343,1.00837679845449,2703893.96239269,11.1560764529337,2033616.40992165
"27","tr104","2016",1439239.84639871,89731.1488790443,10477.363289582,420264.735628395,12447556.8145633,5760120.71254285,428194.892911455,2134995.81862066,4124245.39048832,24.9862792504456,4320880.86614414,20.9556793797631,338463.744032411,0.490743972339533,2124518.45533108,10.1901001477178,2685005.54408961
"28","tr104","2015",1483451.21464096,117335.448407365,32548.7198989644,326377.71124703,12447556.8145653,5948502.71692841,829072.896697224,2606510.06347594,3063471.13746375,24.9382287482078,4465051.50228745,14.1526093633978,711737.448289859,1.24874714105491,2573961.34357698,10.6538529857748,1580019.92282279
"29","tr104","2014",934326.676323688,603102.572998566,73034.3715431964,348041.819846386,12447556.8145709,3780746.75435346,2416978.93328936,3540220.99139843,2709610.1355296,24.7127548346852,2846420.07802977,24.9527442995864,1813876.36029079,2.06298905409142,3467186.61985523,12.8447194407309,1775283.45920591
"30","tr104","2013",1550379.03894592,16848.7422710999,15993.2472652301,342753.661039743,12447556.8145621,6351974.36398898,109980.43031283,2324775.63019236,3660826.39006789,24.4078289694528,4801595.32504306,15.3197639099748,93131.6880417301,0.687947991949089,2308782.38292713,9.36274011708561,2110447.35112197
"31","tr104","2012",1448755.10664662,10421.880092017,10471.1228888379,454460.880885393,12447556.8145537,5815840.28844528,206521.117927247,2347873.14221371,4077322.26596747,24.9105036382269,4367085.18179866,5.04639922377738,196099.23783523,0.445983332769213,2337402.01932487,11.1460623232723,2628567.15932085
"32","tr104","2011",817581.125404764,560269.84960834,39.5717637035996,184570.743672075,12447556.8145583,3612903.3474791,3375447.86077675,2677871.10226095,2781334.50404153,22.629476816069,2795322.22207434,16.5983855392574,2815178.01116841,0.00147773220563861,2677831.53049725,6.63604983161417,1963753.37863677
"33","tr104","2010",1320686.83131525,12508.3759855857,1197.33424588418,228068.748901365,12447556.8145646,6316280.14070567,245147.182916724,2813527.07662075,3072602.41432145,20.9092504115515,4995593.30939043,5.10239433990753,232638.806931138,0.0425563434535084,2812329.74237487,7.42265734864793,1751915.58300621
"34","tr109","2019",2418149.74762484,67588.6777851041,86821.0173758349,326622.419394389,9321767.87623893,5998039.70824111,174759.415384677,1389300.92421897,1759667.82839417,40.3156675388857,3579889.96061627,38.6752711642627,107170.737599573,6.24925931181134,1302479.90684313,18.561595212686,-658481.919230668
"35","tr109","2018",2474652.90711419,162618.715360309,85676.5858756492,122821.807304479,9321767.87622815,6697906.33903143,482655.159693315,1251301.09677251,889905.280730895,36.9466633579717,4223253.43191724,33.6925260394271,320036.444333006,6.84699998238917,1165624.51089686,13.8016719266575,-1584747.62638329
"36","tr109","2017",1444610.85211069,331096.406667755,60306.7346457344,314159.07450961,9321767.87623852,5087759.83450413,1304019.34294331,1136990.54879848,1792998.14999259,28.3938491418882,3643148.98239344,25.3904521017637,972922.936275555,5.30406648581765,1076683.81415275,17.521438854296,348387.297881904
