"","year","site","lulc_70","lulc_40","lulc_30","lulc_20"
"1",2010,"tr104",287133.34344544,1743.12452324782,21824.231007378,2139841.27861998
"2",2011,"tr104",231374.212311152,74.4356372235342,875615.758908294,1343477.57073993
"3",2012,"tr104",616776.36171168,10719.158114531,14518.9616886644,2444472.69432892
"4",2013,"tr104",482602.493783711,16215.4998522835,30086.6030394321,2560005.03125666
"5",2014,"tr104",492071.330485665,81531.5120457909,987797.47840676,1576089.80355544
"6",2015,"tr104",458573.383871091,34797.3936609002,174916.30901266,2470410.69143433
"7",2016,"tr104",564620.408513872,11229.2658184226,161391.094572565,2401457.00907426
"8",2017,"tr104",498168.416711516,30886.0602464232,659079.992716717,1950563.30830437
"9",2018,"tr104",315050.547555288,43923.0205388723,21066.3967400991,2758657.8131438
"10",2019,"tr104",537714.189631748,43774.0247007199,72880.6325039539,2484934.42795832
"11",2010,"cr",247871.232864078,78900.6542302517,7304.16746124529,1041564.09739294
"12",2011,"cr",222538.261395563,56122.0604111978,340538.970194874,756440.859946539
"13",2012,"cr",300902.742837343,33086.6980021344,30687.9842806374,1010962.72682831
"14",2013,"cr",238907.140924709,41928.358959329,5415.70867811834,1274749.0092058
"15",2014,"cr",148821.159164862,152942.261418687,163890.325022552,1120047.17856998
"16",2015,"cr",327889.123177299,52306.7691642756,25765.0374167649,1801097.02601913
"17",2016,"cr",342564.782489302,24550.4221728849,91565.0375302207,1748377.71358451
"18",2017,"cr",253511.272620007,57673.3252055082,210130.707709634,1685742.65024228
"19",2018,"cr",207206.568065637,120016.482275118,5464.28386873983,1874370.62156746
"20",2019,"cr",330426.834536171,97138.7666569881,9829.82720811732,1769662.52737595
"21",2010,"sb",697.819252902641,0,0,17933.3599404832
"22",2011,"sb",420.327152588987,0,5050.0594959964,13160.7925447915
"23",2012,"sb",2961.42283663247,0,572.396091151983,15097.3602656203
"24",2013,"sb",887.654211184708,0,251.6453992608,17491.8795829453
"25",2014,"sb",1359.71340346653,0,2750.97414902525,14520.491640891
"26",2015,"sb",5353.0716597913,194.80227307789,1202.56770297521,17487.5951843895
"27",2016,"sb",5017.75767296142,0,313.356830843375,18906.9223164501
"28",2017,"sb",5312.81461061887,0,895.411876151455,18029.8103335065
"29",2018,"sb",3170.91001573065,186.189651312307,134.327131602913,20746.6100216024
"30",2019,"sb",3406.0268498445,15.1886915704235,737.412560154451,20079.4087187059
"31",2017,"cb",0,0,15535.7204064538,27399.8937454775
"32",2018,"cb",0,0,0,42935.6141519271
"33",2019,"cb",13.0392515863059,0,1958.2065729216,48464.1393569627
"34",2010,"tr109",8993.31071791333,0,0,2608.11059288704
"35",2011,"tr109",2169.01016185934,0,8196.67296608677,1235.7381828744
"36",2012,"tr109",7140.06232290994,0,374.137786738575,4087.22120117628
"37",2013,"tr109",6328.70457275306,0,725.853873964399,4546.86286413218
"38",2014,"tr109",144618.579631808,16150.7769365018,318358.0972323,533533.503446899
"39",2015,"tr109",260770.94554116,50170.0480014689,576175.38874295,2207395.53492612
"40",2016,"tr109",571664.239155023,46703.3205184891,935712.945183384,3284580.89330371
"41",2017,"tr109",520340.19881396,68956.7764307303,630144.015493033,3619220.40742227
"42",2018,"tr109",271750.93445274,100451.017248035,211260.746267121,6152208.95162118
"43",2019,"tr109",715067.609841422,102782.230489276,140767.132763402,6397844.9746147
