"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"1",-43567
"2",-1203
"3",-13094
"4",-15929
"5",-13793
"6",-2352
"7",-5685
"8",-2759
"9",-844
"10",-34082
"11",-32897
"12",-19252
"13",-3591
"14",-115
"15",-115
"16",-115
"17",-115
"18",-4323
"19",-626
"20",-575
"21",-345
"22",-108500
"23",-30061
"24",-2251
"25",-2167
"26",-288
"27",-335
"28",-269
"29",-5760
"30",-6944
"31",-684
"32",-762
"33",-780
"34",-500
"35",-288
"36",-557
"37",-324
"38",-67562
"39",-396
"40",-1228
"41",-995
"42",-115
"43",-115
"44",-115
"45",-115
"46",-115
"47",-115
"48",-115
"49",-115
"50",-115
"51",-115
"52",-115
"53",-115
"54",-115
"55",-115
"56",-21644
"57",-115
"58",-115
"59",-115
"60",-115
"61",-115
"62",-115
"63",-115
"64",-115
"65",-115
"66",-2735
"67",-52998
"68",-17516
"69",-3988
"70",-115
"71",-115
"72",-115
"73",-115
"74",-115
"75",-115
"76",-115
"77",-4182
"78",-115
"79",-6545
"80",-46265
"81",-80450
"82",-20916
"83",-115
"84",-115
"85",-115
"86",-38437.2057952257
"87",-1179.7877321162
"88",-12665.3712876553
"89",-15905.7862486366
"90",-13284.0186778243
"91",-2164.24778362271
"92",-1714.82588873063
"93",-2735.78684202781
"94",4976.70265319278
"95",-34035.5701626026
"96",-25306.6205568933
"97",-19057.8756601655
"98",-3567.78752446566
"99",328.65611711671
"100",-68.5714681759414
"101",-69.231149219914
"102",271.525046579316
"103",-3759.75790451206
"104",-451.018265078496
"105",-551.787672753936
"106",-73.690713307634
"107",-108453.572536342
"108",-27602.0058990078
"109",-2204.57556258611
"110",2875.19777855948
"111",2468.01238766345
"112",65.3826651336253
"113",1019.29374261675
"114",-4217.20510076892
"115",-5790.97371196484
"116",-614.013546708028
"117",2317.22324641339
"118",-733.704471980172
"119",-395.309931028932
"120",3260.29713121013
"121",-482.698375196184
"122",-254.010326209689
"123",-67516.234357876
"124",1898.58493857376
"125",23444.5607567763
"126",-971.787702454633
"127",-46.0191044946139
"128",-91.786397015173
"129",-6.54512777090072
"130",-68.5726550266053
"131",-69.2324275227015
"132",-40.7019804812223
"133",-69.2323105146612
"134",-69.2316085366781
"135",1175.20094323955
"136",-69.2314069032731
"137",-34.6651099915556
"138",-91.7856552330529
"139",-68.5712307977475
"140",-68.5711121129881
"141",-20996.4038031021
"142",-17.4836981607989
"143",-68.5702812923615
"144",-91.7851211268951
"145",-23.5331867015051
"146",-69.2298739795325
"147",-12.5810272848016
"148",264.816548920522
"149",182.315214526815
"150",-68.5698065076272
"151",-2711.78808700471
"152",-50068.9620436873
"153",-12508.3450645906
"154",-2850.87677150528
"155",-91.7853881852577
"156",-69.2305760467673
"157",8.94836360540863
"158",8.94836360540863
"159",-91.7852694560153
"160",-69.2303419205857
"161",-17.4836981607989
"162",-4135.57532303985
"163",-91.7848837191053
"164",-6521.7873167687
"165",-44007.535099588
"166",-80426.7865749964
"167",-20892.7876320447
"168",-91.7847946966998
"169",-68.5696878188693
"170",-91.7848540828129
"171",-21263.5469357638
"172",-1102.0770961574
"173",-11230.3969028493
"174",-15828.0706462463
"175",-11580.0377296709
"176",-1535.6860157509
"177",11576.6265707364
"178",-2658.07322620787
"179",24463.4028399686
"180",-33880.1311417506
"181",104.649752637994
"182",-18407.9811311544
"183",-3490.07619332895
"184",1813.93963963787
"185",86.8631818437328
"186",83.9950033916782
"187",1565.54368077964
"188",-1874.12132396549
"189",134.790151832625
"190",-474.076838060593
"191",834.605594314635
"192",-108298.141462358
"193",-19369.7213000339
"194",-2049.15461993963
"195",19755.5990372151
"196",11694.6625550585
"197",1405.79419623315
"198",5332.27714181195
"199",947.803909700364
"200",-1930.84222593407
"201",-379.711072643598
"202",12625.9271583191
"203",-578.715095565965
"204",-44.8257870823145
"205",15139.3788313484
"206",-233.949457374712
"207",-19.6970704769095
"208",-67363.0189472872
"209",9580.45625466853
"210",106044.003290332
"211",-894.076967194055
"212",184.91693697994
"213",-14.0712913703173
"214",356.542922735214
"215",86.858021623455
"216",83.9894455534716
"217",208.034867472947
"218",83.9899542840819
"219",83.9930063622693
"220",5494.56931843284
"221",83.9938830292473
"222",234.282130471497
"223",-14.0680662306647
"224",86.8642139228371
"225",86.86472994353
"226",-18828.3643613135
"227",308.983921040005
"228",86.8683422071238
"229",-14.0657440299789
"230",282.681796949978
"231",84.0005479150762
"232",330.299881370428
"233",1536.37629965444
"234",1177.67484576876
"235",86.8704064885775
"236",-2634.07863915091
"237",-40263.0523638576
"238",4256.41276264967
"239",956.014036933581
"240",-14.0669051532944
"241",83.9974954488377
"242",423.905928719168
"243",423.905928719168
"244",-14.0663889391969
"245",83.9985133887579
"246",308.983921040005
"247",-3980.15357843414
"248",-14.0647118221968
"249",-6444.07529029871
"250",-36449.9352156001
"251",-80349.0720652019
"252",-20815.076661064
"253",-14.0643247682601
"254",86.8709225266551
"255",-14.0645829687516
"256",-6989.33697465268
"257",-1037.48643769813
"258",-10037.6909206728
"259",-15763.4758598439
"260",-10163.7418766603
"261",-1013.24506583148
"262",22624.0675760076
"263",-2593.4800909809
"264",40660.1406575485
"265",-33750.935072471
"266",21225.7055943263
"267",-17867.8090550933
"268",-3425.48495705947
"269",3048.4610090061
"270",216.055618223722
"271",211.351805562352
"272",2641.0916364786
"273",-306.838971303403
"274",621.695849005505
"275",-409.486014419372
"276",1589.553174676
"277",-108168.951998267
"278",-12527.3029320555
"279",-1919.97357670099
"280",33786.0624210328
"281",19363.5665902959
"282",2519.90248182237
"283",8917.09451257159
"284",5240.7984119086
"285",1277.57874946813
"286",-184.966159135501
"287",21194.2005396433
"288",-449.892756728182
"289",246.485709185004
"290",25012.9012834113
"291",-27.1971100945274
"292",175.056804417868
"293",-67235.6710735509
"294",15965.3882576564
"295",174698.085396144
"296",-829.486226198251
"297",376.863776647101
"298",50.5230821526796
"299",658.330393285751
"300",216.047155462466
"301",211.342690707694
"302",414.777182655632
"303",211.343525025894
"304",211.348530434122
"305",9084.69368222986
"306",211.349968167966
"307",457.822693973256
"308",50.52837138171
"309",216.057310833453
"310",216.058157107389
"311",-17026.3575525541
"312",580.333630505608
"313",216.064081219683
"314",50.5321797908346
"315",537.198146997963
"316",211.360898580725
"317",615.291805447501
"318",2593.25713143329
"319",2004.98674706077
"320",216.067466641267
"321",-2569.48896820749
"322",-32112.6858767265
"323",18190.7569307455
"324",4120.18302057107
"325",50.5302755485972
"326",211.355892536094
"327",768.805723099435
"328",768.805723099435
"329",50.5311221397172
"330",211.357561957563
"331",580.333630505608
"332",-3850.97186863199
"333",50.5338726115972
"334",-6379.48347608988
"335",-30168.2937535842
"336",-80284.4781869311
"337",-20750.4857241449
"338",50.5345073800534
"339",216.068312943714
"340",50.5340839312474
"341",2155.07878168415
"342",-996.108047122664
"343",-9273.61365084102
"344",-15722.0948248049
"345",-9256.42734582537
"346",-678.55633228935
"347",29701.3344700096
"348",-2552.10011372613
"349",51036.1758219356
"350",-33668.1688405887
"351",34756.3819929079
"352",-17521.7613188666
"353",-3384.10619632434
"354",3839.32626125763
"355",298.819522779652
"356",292.93975695294
"357",3330.11454559825
"358",697.201285870746
"359",933.619811256882
"360",-368.107518024215
"361",2073.191468345
"362",-108086.189997833
"363",-8143.8786650694
"364",-1837.21697087623
"365",42774.328026291
"366",24276.4582378699
"367",3233.62810227796
"368",11213.6181407145
"369",7990.99801488575
"370",3332.97343683516
"371",-60.2076989193758
"372",26683.2506745541
"373",-367.365945910228
"374",433.107136481255
"375",31338.1266042642
"376",105.253612381841
"377",299.821005522336
"378",-67154.0888419387
"379",20055.7353220705
"380",218679.60674518
"381",-788.107782747814
"382",499.829720808876
"383",91.9038526908494
"384",851.662991607189
"385",298.808944328083
"386",292.928363384617
"387",547.221478319541
"388",292.929406282368
"389",292.935663042652
"390",11384.6171027873
"391",292.937460209957
"392",601.02836746657
"393",91.9104642271375
"394",298.821638541816
"395",298.822696384237
"396",-15871.9469406926
"397",754.16703813201
"398",298.830101524604
"399",91.9152247385432
"400",700.247683747454
"401",292.951123225906
"402",797.864756809377
"403",3270.32141429161
"404",2534.98343382596
"405",298.834333301584
"406",-2528.11121025936
"407",-26891.3573459081
"408",27117.4461634318
"409",6147.22877571384
"410",91.9128444357465
"411",292.944865670117
"412",989.757153874294
"413",989.757153874294
"414",91.9139026746464
"415",292.946952446954
"416",754.16703813201
"417",-3768.21483578999
"418",91.9173407644965
"419",-6338.10434511236
"420",-26144.1171919803
"421",-80243.0977336639
"422",-20709.1071551812
"423",91.9181342250667
"424",298.835391179643
"425",91.9176049140592
"426",3270.25143489595
"427",-991.061901930533
"428",-9180.43349598348
"429",-15717.0483571172
"430",-9145.77923230892
"431",-637.740633076895
"432",30564.4157985464
"433",-2547.05377503652
"434",52301.5459639341
"435",-33658.0753976763
"436",36406.4644805398
"437",-17479.5603754243
"438",-3379.06000599079
"439",3935.77324323952
"440",308.912681871839
"441",302.889507122524
"442",3414.14172963724
"443",819.645219672471
"444",971.659318848513
"445",-363.061359927244
"446",2132.17174806073
"447",-108076.097070951
"448",-7609.31473007109
"449",-1827.12470187321
"450",43870.4579781517
"451",24875.5913656228
"452",3320.66781208962
"453",11493.6819978051
"454",8326.38821037076
"455",3583.63132553846
"456",-44.9932525515557
"457",27352.6470324701
"458",-357.301700688526
"459",455.86584712714
"460",32109.4955458316
"461",121.406139513105
"462",315.03615199849
"463",-67144.139789303
"464",20554.5581348039
"465",224043.206909697
"466",-783.061631107517
"467",514.825567657873
"468",96.9502881223336
"469",875.24013774395
"470",308.901845409255
"471",302.87783566229
"472",563.373221693188
"473",302.878903996572
"474",302.885313360766
"475",11665.095568709
"476",302.887154361419
"477",618.492473990145
"478",96.9570609156042
"479",308.914849237958
"480",308.915932881413
"481",-15731.1651587583
"482",775.36623418401
"483",308.92351863496
"484",96.9619375370443
"485",720.131773594953
"486",302.90115062166
"487",820.129750877898
"488",3352.89022927433
"489",2599.6171761144
"490",308.927853626013
"491",-2523.06514221691
"492",-26254.609964101
"493",28206.0668015643
"494",6394.42947756052
"495",96.9594991780817
"496",302.894740442559
"497",1016.70245031025
"498",1016.70245031025
"499",96.9605832276866
"500",302.896878116392
"501",775.36623418401
"502",-3758.12251471169
"503",96.9641051733866
"504",-6333.05810962729
"505",-25653.3639527603
"506",-80238.051336924
"507",-20704.0609882344
"508",96.9649179866537
"509",308.928937305976
"510",96.9643757656217
"511",4162.3895574654
"512",-987.024985776829
"513",-9105.88937209745
"514",-15713.011182967
"515",-9057.26074149576
"516",-605.088073706931
"517",31254.8808613758
"518",-2543.01670408484
"519",53313.8420775328
"520",-33650.0006433463
"521",37726.5304706453
"522",-17445.7996206705
"523",-3375.02305372395
"524",4012.93082882504
"525",316.987209145588
"526",310.849307258191
"527",3481.36347686842
"528",917.600366713852
"529",1002.09092492182
"530",-359.024433449668
"531",2179.35597183332
"532",-108068.022729445
"533",-7181.66358207244
"534",-1819.0508866708
"535",44747.3619396403
"536",25354.8978678252
"537",3390.29957993895
"538",11717.7330834776
"539",8594.70036675878
"540",3784.15763650109
"541",-32.8216954572996
"542",27888.1641188028
"543",-349.250304511165
"544",474.072815643847
"545",32726.5906990855
"546",134.328161218117
"547",327.208269179414
"548",-67136.1805471945
"549",20953.6163849907
"550",228334.08704131
"551",-779.024709795279
"552",526.822245137071
"553",100.987436467521
"554",894.101854653358
"555",316.976166274194
"556",310.837413484429
"557",576.294616392106
"558",310.838502167935
"559",310.845033615256
"560",11889.4783414463
"561",310.846909682589
"562",632.463759209004
"563",100.994338266378
"564",316.989417794871
"565",316.990522079154
"566",-15618.5397332108
"567",792.32559102561
"568",316.998252323245
"569",100.999307775845
"570",736.039045472952
"571",310.861172538263
"572",837.941746132715
"573",3418.94528126051
"574",2651.32416994515
"575",317.002669885556
"576",-2519.02828778294
"577",-25745.2120586553
"578",29076.9633120703
"579",6592.19003903786
"580",100.99682297195
"581",310.854640260513
"582",1038.25868745902
"583",1038.25868745902
"584",100.997927670119
"585",310.856818651942
"586",792.32559102561
"587",-3750.04865784906
"588",101.001516700499
"589",-6329.02112123924
"590",-25260.7613613843
"591",-80234.0142195321
"592",-20700.0240546769
"593",101.002344995923
"594",317.003774207042
"595",101.001792446872
"596",5054.52768003485
"597",-982.988069623125
"598",-9031.34524821142
"599",-15708.9740088169
"600",-8968.74225068259
"601",-572.435514336967
"602",31945.3459242053
"603",-2538.97963313315
"604",54326.1381911315
"605",-33641.9258890163
"606",39046.5964607508
"607",-17412.0388659166
"608",-3370.9861014571
"609",4090.08841441055
"610",325.061736419337
"611",318.809107393858
"612",3548.58522409961
"613",1015.55551375523
"614",1032.52253099512
"615",-354.987506972092
"616",2226.5401956059
"617",-108059.94838794
"618",-6754.0124340738
"619",-1810.97707146838
"620",45624.265901129
"621",25834.2043700275
"622",3459.93134778827
"623",11941.78416915
"624",8863.01252314679
"625",3984.68394746373
"626",-20.6501383630435
"627",28423.6812051356
"628",-341.198908333803
"629",492.279784160554
"630",33343.6858523395
"631",147.250182923128
"632",339.380386360337
"633",-67128.221305086
"634",21352.6746351774
"635",232624.967172924
"636",-774.987788483041
"637",538.818922616268
"638",105.024584812708
"639",912.963571562767
"640",325.050487139132
"641",318.796991306568
"642",589.216011091024
"643",318.798100339298
"644",318.804753869747
"645",12113.8611141836
"646",318.806665003759
"647",646.435044427864
"648",105.031615617151
"649",325.063986351785
"650",325.065111276895
"651",-15505.9143076634
"652",809.28494786721
"653",325.07298601153
"654",105.036678014646
"655",751.946317350951
"656",318.821194454866
"657",855.753741387532
"658",3485.00033324669
"659",2703.0311637759
"660",325.077486145099
"661",-2514.99143334898
"662",-25235.8141532096
"663",29947.8598225763
"664",6789.95060051521
"665",105.034146765818
"666",318.814540078466
"667",1059.81492460779
"668",1059.81492460779
"669",105.035272112551
"670",318.816759187492
"671",809.28494786721
"672",-3741.97480098642
"673",105.038928227611
"674",-6324.98413285119
"675",-24868.1587700083
"676",-80229.9771021401
"677",-20695.9871211195
"678",105.039772005193
"679",325.078611108108
"680",105.039209128122
"681",5054.52768003485
"682",-982.988069623125
"683",-9031.34524821142
"684",-15708.9740088169
"685",-8968.74225068259
"686",-572.435514336967
"687",31945.3459242053
"688",-2538.97963313315
"689",54326.1381911315
"690",-33641.9258890163
"691",39046.5964607508
"692",-17412.0388659166
"693",-3370.9861014571
"694",4090.08841441055
"695",325.061736419337
"696",318.809107393858
"697",3548.58522409961
"698",1015.55551375523
"699",1032.52253099512
"700",-354.987506972092
"701",2226.5401956059
"702",-108059.94838794
"703",-6754.0124340738
"704",-1810.97707146838
"705",45624.265901129
"706",25834.2043700275
"707",3459.93134778827
"708",11941.78416915
"709",8863.01252314679
"710",3984.68394746373
"711",-20.6501383630435
"712",28423.6812051356
"713",-341.198908333803
"714",492.279784160554
"715",33343.6858523395
"716",147.250182923128
"717",339.380386360337
"718",-67128.221305086
"719",21352.6746351774
"720",232624.967172924
"721",-774.987788483041
"722",538.818922616268
"723",105.024584812708
"724",912.963571562767
"725",325.050487139132
"726",318.796991306568
"727",589.216011091024
"728",318.798100339298
"729",318.804753869747
"730",12113.8611141836
"731",318.806665003759
"732",646.435044427864
"733",105.031615617151
"734",325.063986351785
