"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"1",-43232.4482040365
"2",-1201.48615644236
"3",-13066.0459535427
"4",-15927.4860596937
"5",-13759.8055659451
"6",-2339.75529023626
"7",-5426.07560143895
"8",-2757.48609839312
"9",-464.388957400471
"10",-34078.9719671263
"11",-32401.9752537104
"12",-19239.3397169673
"13",-3589.48614289993
"14",-86.065905405432
"15",-111.972052272344
"16",-112.015074949125
"17",-89.7918447883055
"18",-4286.26681985948
"19",-614.588147722511
"20",-573.486152570909
"21",-327.305916085281
"22",-108496.972121935
"23",-29900.6308195005
"24",-2247.97231929909
"25",-1838.16101444177
"26",-108.260061674123
"27",-308.888087056503
"28",-184.980842872821
"29",-5659.38294135449
"30",-6868.80263338901
"31",-679.435666089654
"32",-561.181092625214
"33",-776.98072643349
"34",-493.172386806235
"35",-56.5893175297743
"36",-552.154241860621
"37",-319.435456057154
"38",-67559.0152842093
"39",-246.353156179972
"40",381.080049354979
"41",-993.486154507911
"42",-110.501245945301
"43",-113.486069370555
"44",-107.926856158972
"45",-111.972129675648
"46",-112.015158316698
"47",-110.154476987906
"48",-112.015150685739
"49",-112.015104904566
"50",-30.8564602235074
"51",-112.015091754561
"52",-109.760768042928
"53",-113.48602099346
"54",-111.972036791157
"55",-111.972029050847
"56",-21601.7654654197
"57",-108.6402411844
"58",-111.971974866893
"59",-113.48598616045
"60",-109.03477304575
"61",-112.014991781274
"62",-108.320501779444
"63",-90.2293555051833
"64",-95.6098773134686
"65",-111.971943902671
"66",-2733.48617958726
"67",-52806.9757854579
"68",-17189.4138085603
"69",-3913.839789446
"70",-113.486003577299
"71",-112.015037568267
"72",-106.916411069212
"73",-106.916411069212
"74",-113.485995834088
"75",-112.015022299169
"76",-108.6402411844
"77",-4178.97230367651
"78",-113.485970677333
"79",-6543.48612935448
"80",-46117.774028234
"81",-80448.486080978
"82",-20914.486149916
"83",-113.485964871524
"84",-111.9719361621
"85",-113.485968744531
