"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"1",-86.5208405274988
"2",-99.917728490698
"3",-13823.585253426
"4",-80.1304194628199
"5",-45.0745016159614
"6",-4874.1981087784
"7",-4005.0029840435
"8",-3412.96270783886
"9",-4670.17692749145
"10",-731.191478150884
"11",-327.161103248596
"12",-213.115496507088
"13",-347.911394429741
"14",-11026.925082267
"15",-891.925082264865
"16",-670.96252549087
"17",-495.962669986362
"18",-16687.4886235555
"19",-3307.85805855806
"20",-9628.92308742151
"21",-7506.70474187031
"22",-280.968810487886
"23",-10061.9626751436
"24",-782.881668546498
"25",-756.51644081528
"26",-9887.94839314759
"27",-6002.23509419084
"28",95.2357808596392
"29",-580.962522250414
"30",-178456.701913368
"31",-7132.82791698168
"32",-625.181093881652
"33",-632.962771164725
"34",-1906.96263386637
"35",-2193.25752595313
"36",718.741126023531
"37",-739.962604819934
"38",-1532.77880940268
"39",-1754.03992833192
"40",-840.962568697184
"41",-1881.49801519334
"42",-1424.23410730985
"43",-1506.92515450165
"44",-1489.96257901711
"45",-1611.96257385674
"46",-1591.02811059239
"47",-1616.96259966679
"48",-880.962659668749
"49",-497.097658769786
"50",-1920.43470592694
"51",-1149.94983762542
"52",-1644.79795621815
"53",-1057.01326084788
"54",-1518.99203653175
"55",-1787.772637913
"56",-1957.96264934979
"57",-1640.61852450391
"58",-49368.2317944913
"59",-14685.924906798
"60",-3477.24399511479
"61",-14792.9622209874
"62",-14296.8265582872
"63",-5561.92488615484
"64",-7188.10706060752
"65",-6365.66960733041
"66",-6644.10444737891
"67",-5372.87434082727
"68",-4387.68707295625
"69",-374.130696920703
"70",-790.962458405097
"71",-274.803544830494
"72",-546.169615766158
"73",-930.962396474257
"74",-289.947846458008
"75",-94.0555650098622
"76",-1050.13039021396
"77",-478.924706827973
"78",-451.962344860435
"79",671.11234461166
"80",748.017832494974
"81",-678.962315621326
"82",-445.027260485565
"83",-702.039366487066
"84",-831.924569145913
"85",-498.039237771158
"86",242.441455807971
"87",340.436375532237
"88",15.8873828594262
"89",-5.1801362995555
"90",10.4005304800967
"91",-9.03964046224952
"92",-12.9623913035045
"93",12.34666872859
"94",67.699040347139
"95",20.9532382009427
"96",-8.92473132677376
"97",-12.9622725962599
"98",-8.94762000312408
"99",32.9569049491237
"100",-12.9623072588444
"101",-12.9623118718962
"102",25.3182703547242
"103",27.2217629034321
"104",106.974868096312
"105",-9.03923777103424
"106",208.496425622205
"107",1976.62958042269
"108",-3593.93634425849
"109",976.578450167105
"110",-798.173996289894
"111",-955.962391303206
"112",244.558354904006
"113",-10399.9153228564
"114",-8364.96225903898
"115",-17400.0272176026
"116",-1184.09127589623
"117",-1195.96225903672
"118",-256.047825291455
"119",-2976.65749941528
"120",-955.962290015991
"121",-9.03924362356464
"122",20.5628425566584
"123",-8.92449391067028
"124",26.5511066536109
"125",28.4807539532085
"126",151.88125107723
"127",33.0342982828369
"128",13.2233870871862
"129",26.7492254242549
"130",30.3764901656533
"131",50.0500937357073
"132",-41695.6468484732
"133",-6781.75470431685
"134",-8094.71171391298
"135",-9224.27573845486
"136",-4817.32526163042
"137",-13702.3491664399
"138",14.5797581445674
"139",12.3469275963306
"140",41.0360088937481
"141",8.84310250399363
"142",-5.00187225924184
"143",-5.00187225924184
"144",18.7394887176404
"145",-0.567924774090447
"146",-1.14234925925732
"147",2016.69680842708
"148",20.5615462272558
"149",1933.33109543949
"150",-8.94775132407745
"151",8.84310250625431
"152",-276.054221630221
"153",-767.826827416519
"154",-711.924700352897
"155",-310.129911499048
"156",-466.027289058566
"157",-112.424863549986
"158",-733.262194879254
"159",-951.947843955805
"160",112.904254810413
"161",-695.962341618588
"162",-831.924679697082
"163",-4.82688965986172
"164",-12.9623983989408
"165",35.017992810756
