"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"1",-98.3151050659373
"2",-99.9897160613372
"3",-13829.1981566782
"4",-99.0851390687377
"5",-94.6999000336903
"6",-7501.6497635973
"7",-4015.50037300544
"8",-3416.49533847986
"9",-4713.77211593643
"10",-763.39893476886
"11",-702.395137906075
"12",-436.139437063386
"13",-358.488924303718
"14",-11033.9906352834
"15",-898.990635283108
"16",-674.495315686359
"17",-499.495333748295
"18",-18182.4360779444
"19",-3338.60725731976
"20",-10017.4903859277
"21",-7711.71309273379
"22",-451.621101310986
"23",-10065.495334393
"24",-806.610208568312
"25",-803.31455510191
"26",-9894.99354914345
"27",-8885.15438677385
"28",-454.470527392545
"29",-584.495315281302
"30",-179920.837739171
"31",-7143.47848962271
"32",-635.522636735206
"33",-636.495346395591
"34",-1910.4953292333
"35",-2261.28219074414
"36",-1648.78235924706
"37",-743.495325602492
"38",-1559.22235117534
"39",-1761.00499104149
"40",-844.495321087148
"41",-1979.93725189917
"42",-1446.77926341373
"43",-1513.99064431271
"44",-1493.49532237714
"45",-1615.49532173209
"46",-1603.25351382405
"47",-1620.49532495835
"48",-884.495332458594
"49",-644.887207346223
"50",-2082.80433824087
"51",-1506.11872970318
"52",-1842.72474452727
"53",-1112.12665760598
"54",-1534.74900456647
"55",-1805.47157973913
"56",-1961.49533116872
"57",-1671.57731556299
"58",-49390.7789743114
"59",-14692.9906133498
"60",-3496.28049938935
"61",-14796.4952776234
"62",-14307.4783197859
"63",-5568.99061076935
"64",-7429.51338257594
"65",-6414.0837009163
"66",-6703.51305592236
"67",-5495.48429260341
"68",-4499.96088411953
"69",-391.516337115088
"70",-794.495307300637
"71",-416.725443103812
"72",-607.27120197077
"73",-934.495299559282
"74",-296.993480807251
"75",-115.006945626233
"76",-1067.51629877674
"77",-485.990588353497
"78",-455.495293107554
"79",-277.485956923543
"80",-212.747770938128
"81",-682.495289452666
"82",-457.253407560696
"83",-709.004920810883
"84",-838.990571143239
"85",-505.004904721395
"86",15.4301819759964
"87",27.6795469415297
"88",-12.8890771425717
"89",-15.5225170374444
"90",-13.5749336899879
"91",-16.0049550577812
"92",-16.4952989129381
"93",-13.3316664089262
"94",-6.41261995660762
"95",-12.2558452248822
"96",-15.9905914158467
"97",-16.4952840745325
"98",-15.9934525003905
"99",-10.7553868813595
"100",-16.4952884073555
"101",-16.495288983987
"102",-11.7102162056595
"103",-11.472279637071
"104",-1.50314148796101
"105",-16.0049047213793
"106",11.1870532027756
"107",232.203697552836
"108",-3638.61704303231
"109",107.197306270888
"110",-887.271749536237
"111",-959.495298912901
"112",-599.430205636999
"113",-10416.614415357
"114",-8368.49528237987
"115",-17412.2534022003
"116",-1198.01140948703
"117",-1199.49528237959
"118",-294.505978161432
"119",-2997.08218742691
"120",-959.495286251999
"121",-16.0049054529456
"122",-12.3046446804177
"123",-15.9905617388338
"124",-11.5561116682986
"125",-11.3149057558489
"126",4.11015638465372
"127",-10.7457127146454
"128",-13.2220766141017
"129",-11.5313468219681
"130",-11.0779387292933
"131",-8.61873828303659
"132",-41916.4558560591
"133",-9844.46933803961
"134",-8347.83896423912
"135",-9289.65946730686
"136",-5030.5406577038
"137",-13767.668645805
"138",-13.0525302319291
"139",-13.3316340504587
"140",-9.74549888828149
"141",-13.7696121870008
"142",-15.5002340324052
"143",-15.5002340324052
"144",-12.5325639102949
"145",-14.9459905967613
"146",-15.0177936574072
"147",237.212101053384
"148",-12.304806721593
"149",226.791386929937
"150",-15.9934689155097
"151",-13.7696121867182
"152",-297.006777703778
"153",-778.478353427065
"154",-718.990587544112
"155",-327.516238937381
"156",-478.253411132321
"157",-145.303107943748
"158",-774.157774359907
"159",-958.993480494476
"160",-405.886968148698
"161",-699.495292702323
