OID_,Id,gridcode,Shape_Length,Shape_Area,area
1,131459,70,1.541553480456850,0.065998800118164,1
2,131594,30,12.485249593448550,5.657410204812126,61
3,131694,40,38.845943041426892,56.527504329300299,608
4,131695,20,18.748986062057647,16.009499998763204,172
5,131696,70,64.225984784974798,72.817368832564199,784
6,131697,20,30.407942859836325,49.864135229154570,537
7,131698,20,20.000000000000000,25.000000000000000,269
8,131779,20,85.134829055890748,271.605436574471639,2924
9,131780,30,18.864778369438554,17.117382239529391,184
10,131781,20,20.000000000000000,25.000000000000000,269
11,131782,30,30.000000000000000,50.000000000000000,538
12,131783,40,71.509335338559865,191.575285143453669,2062
13,131784,40,20.000000000000000,25.000000000000000,269
14,131902,40,20.000000000000000,25.000000000000000,269
15,131903,40,54.883969459418125,141.405999995768070,1522
16,132015,30,30.000000000000000,50.000000000000000,538
17,132016,30,18.748986062057647,16.009499998763204,172
18,132017,20,125.426859155343578,637.919540043775555,6866
19,132018,30,20.000000000000000,25.000000000000000,269
20,132122,20,50.000000000000000,150.000000000000000,1615
21,132123,20,18.748986062057647,16.009499998763204,172
22,132231,20,121.758056019545080,513.589962304876281,5528
23,132312,20,18.864778369438554,17.117382239529391,184
24,132313,20,76.180339887498945,300.000000000000000,3229
25,132314,20,111.029189760225549,441.173696059035365,4749
26,132409,40,254.258443919985467,1360.662410021080859,14646
27,132410,20,51.318158175752984,129.115916757304433,1390
28,132411,20,28.295437062885888,34.138494269237619,367
29,132509,20,37.553503755721252,42.851263402318949,461
30,132605,20,30.000000000000000,50.000000000000000,538
31,132606,70,449.639437430974510,2055.299432958554917,22123
32,132607,40,125.598369755980968,753.940763107967314,8115
33,132608,30,20.000000000000000,25.000000000000000,269
34,132681,20,49.606043431303661,136.451133060804381,1469
35,132682,70,45.267675110050028,110.855073202508009,1193
36,132683,20,20.000000000000000,25.000000000000000,269
37,132684,30,20.000000000000000,25.000000000000000,269
38,132685,30,20.000000000000000,25.000000000000000,269
39,132686,20,20.000000000000000,25.000000000000000,269
40,132687,30,19.304577487644988,24.232709484965774,261
41,132795,40,7.213857706707574,1.345280389172601,14
42,132796,20,13.299877651043804,7.778999996371567,84
43,132797,40,16.069877652956642,14.703999999910593,158
44,132799,30,36.180339887498945,75.000000000000000,807
45,132908,30,36.180339887498945,75.000000000000000,807
46,132909,20,20.000000000000000,25.000000000000000,269
47,132910,70,18.748986062057647,16.009499998763204,172
48,132911,70,20.000000000000000,25.000000000000000,269
49,132912,70,12.746942764646487,6.513634330463113,70
50,132995,30,20.000000000000000,25.000000000000000,269
51,132997,30,35.804365989120470,67.181500000879169,723
52,132998,20,30.000000000000000,50.000000000000000,538
53,132999,20,20.000000000000000,25.000000000000000,269
54,133000,40,179.337847396740926,1009.447076691239886,10866
55,133001,70,36.180339887498945,75.000000000000000,807
56,133002,30,40.000000000000000,100.000000000000000,1076
57,133003,70,41.224353282083626,90.276315913510189,972
58,133004,40,61.270776824885516,162.835891669907085,1753
59,133100,40,65.947564626718332,170.702999997884035,1837
60,133101,30,30.000000000000000,50.000000000000000,538
61,133102,40,61.371455280927556,140.680821178742917,1514
62,133103,20,28.674515642547057,46.387169703667197,499
63,133104,30,20.000000000000000,25.000000000000000,269
64,133204,20,47.172547829094690,81.026124147951762,872
65,133205,70,26.440082361720407,32.149000000208616,346
66,133206,70,85.839888366641901,277.759263060131730,2990
67,133207,70,20.000000000000000,25.000000000000000,269
68,133300,30,18.864778369438554,17.117382239529391,184
69,133303,70,70.975882900175094,189.415809409638996,2039
70,133304,20,268.470821573829255,1057.400937033596165,11382
